"","CardNames","DeckCount","WinrateAverage"
"1","Wooded Foothills",85,80.6
"2","Lightning Bolt",84,80.4
"3","Mountain",77,80.5
"4","Forest",63,80.2
"5","Steam Vents",62,80.2
"6","Plains",57,79.8
"7","Windswept Heath",56,80.8
"8","Island",51,80.4
"9","Temple Garden",48,80.2
"10","Bloodstained Mire",47,79.3
"11","Misty Rainforest",44,81.2
"12","Sacred Foundry",42,79.8
"13","Stomping Ground",41,81.1
"14","Opt",40,78.1
"15","Monastery Swiftspear",39,80.1
"16","Scalding Tarn",37,79.7
"17","Walking Ballista",36,79.2
"18","Spirebluff Canal",35,79.3
"19","Fatal Push",34,79.4
"20","Soul-Scar Mage",33,80.3
"21","Swamp",32,80.5
"22","Lava Dart",31,79.8
"23","Manamorphose",31,80.6
"24","Mutagenic Growth",31,79.8
"25","Arid Mesa",31,78.2
"26","Snapcaster Mage",29,80.2
"27","Mishra's Bauble",29,78.4
"28","Teferi, Time Raveler",29,80.2
"29","Breeding Pool",29,81.9
"30","Fiery Islet",29,81
"31","Flooded Strand",28,79.5
"32","Verdant Catacombs",27,79.6
"33","Utopia Sprawl",27,80.6
"34","Sprite Dragon",27,79.6
"35","Archmage's Charm",26,78.8
"36","Polluted Delta",26,79.8
"37","Path to Exile",26,81.7
"38","Hallowed Fountain",26,79.8
"39","Cryptic Command",25,80
"40","Wrenn and Six",25,83
"41","Watery Grave",24,80.2
"42","Horizon Canopy",24,78.1
"43","Cavern of Souls",24,79.2
"44","Valakut, the Molten Pinnacle",23,79.3
"45","Stormwing Entity",23,80.4
"46","Arbor Elf",22,79.5
"47","Skyclave Apparition",22,78.4
"48","Noble Hierarch",22,79.5
"49","Raugrin Triome",22,80.7
"50","Karn, the Great Creator",22,81.8
