"","ArtistName","Winrate","Presence"
"1","Kev Walker",NA,0
"2","Vance Kovacs",NA,0
"3","Ekaterina Burmak",NA,0
"4","Jean-Sébastien Rossbach",NA,0
"5","Lake Hurwitz",NA,0
"6","Tomasz Jedruszek",NA,0
"7","Christopher Rush",NA,0
"8","Lius Lasahido",NA,0
"9","Johann Bodin",NA,0
"10","Mathias Kollros",NA,0
"11","Daniel Ljunggren",NA,0
"12","Christopher Moeller",NA,0
"13","Pete Venters",NA,0
"14","Cliff Childs",NA,0
"15","Raymond Swanland",NA,0
"16","Jama Jurabaev",NA,0
"17","Jonas De Ro",NA,0
"18","Lie Setiawan",NA,0
"19","James Paick",NA,0
"20","Vincent Proce",NA,0
"21","Aleksi Briclot",NA,0
"22","Slawomir Maniak",NA,0
"23","Kieran Yanner",NA,0
"24","Zoltan Boros & Gabor Szikszai",NA,0
"25","Eric Deschamps",NA,0
"26","Ron Spears",NA,0
"27","Seb McKinnon",NA,0
"28","Jung Park",NA,0
"29","Svetlin Velinov",NA,0
"30","Tyler Walpole",NA,0
"31","Noah Bradley",NA,0
"32","Steven Belledin",NA,0
"33","David Auden Nash",NA,0
"34","Tim Hildebrandt",NA,0
"35","Sam Rowan",NA,0
"36","Heather Hudson",NA,0
"37","Jason Rainville",NA,0
"38","Michael Sutfin",NA,0
"39","Todd Lockwood",NA,0
"40","Daarken",NA,0
"41","Joseph Meehan",NA,0
"42","Chris Rahn",NA,0
"43","Adam Paquette",NA,0
"44","Terese Nielsen",NA,0
"45","Erica Yang",NA,0
"46","David Rapoza",NA,0
"47","Izzy",NA,0
"48","Mark Zug",NA,0
"49","Randy Vargas",NA,0
"50","Cynthia Sheppard",NA,0
"51","Franz Vohwinkel",NA,0
"52","Ryan Pancoast",NA,0
"53","Anthony S. Waters",NA,0
"54","John Stanko",NA,0
"55","Jim Murray",NA,0
"56","Matt Stewart",NA,0
"57","Paul Scott Canavan",NA,0
"58","Rebecca Guay",NA,0
"59","Chippy",NA,0
"60","Chris Seaman",NA,0
"61","Chuck Lukacs",NA,0
"62","Volkan Baǵa",NA,0
"63","Jarreau Wimberly",NA,0
"64","Jason Chan",NA,0
"65","Jeremy Jarvis",NA,0
"66","Tomas Giorello",NA,0
"67","Jason Kang",NA,0
"68","Nicholas Gregory",NA,0
"69","Austin Hsu",NA,0
"70","David Palumbo",NA,0
"71","Howard Lyon",NA,0
"72","Tom Wänerstrand",NA,0
"73","Yongjae Choi",NA,0
"74","Chris Rallis",NA,0
"75","Greg Staples",NA,0
"76","Goran Josic",NA,0
"77","Igor Kieryluk",NA,0
"78","Campbell White",NA,0
"79","Magali Villeneuve",NA,0
"80","Chris Ostrowski",NA,0
"81","Victor Adame Minguez",NA,0
"82","Alan Pollack",NA,0
"83","Jason Alexander Behnke",NA,0
"84","Justin Murray",NA,0
"85","Jim Nelson",NA,0
"86","Dan Scott",NA,0
"87","Andrey Kuzinskiy",NA,0
"88","Anna Podedworna",NA,0
"89","Dave Kendall",NA,0
"90","rk post",NA,0
"91","Ryan Yee",NA,0
"92","Martina Pilcerova",NA,0
"93","Randy Gallegos",NA,0
"94","Adam Rex",NA,0
"95","Michael Komarck",NA,0
"96","Alayna Danner",NA,0
"97","Chris Cold",NA,0
"98","Jesper Ejsing",NA,0
"99","Jason Felix",NA,0
"100","Raoul Vitale",NA,0
"101","Mark Tedin",NA,0
"102","Yeong-Hao Han",NA,0
"103","Richard Kane Ferguson",NA,0
"104","Jonathan Kuo",NA,0
"105","Sam Burley",NA,0
"106","Mark Behm",NA,0
"107","Mike Dringenberg",NA,0
"108","Johannes Voss",NA,0
"109","William Simpson",NA,0
"110","Pat Lee",NA,0
"111","Nils Hamm",NA,0
"112","Zoltan Boros",NA,0
"113","Quinton Hoover",NA,0
"114","Dimitar Marinski",NA,0
"115","G-host Lee",NA,0
"116","Daren Bader",NA,0
"117","Mike Bierek",NA,0
"118","Filip Burburan",NA,0
"119","Anna Steinbauer",NA,0
"120","Craig J Spearing",NA,0
"121","Jakub Kasper",NA,0
"122","Omar Rayyan",NA,0
"123","Dave Allsop",NA,0
"124","Wayne Reynolds",NA,0
"125","Steve Argyle",NA,0
"126","Hugh Jamieson",NA,0
"127","Lindsey Look",NA,0
"128","Peter Mohrbacher",NA,0
"129","Lars Grant-West",NA,0
"130","John Avon",NA,0
"131","Titus Lunter",NA,0
"132","Bastien L. Deharme",NA,0
"133","Caio Monteiro",NA,0
"134","Bud Cook",NA,0
"135","Gabor Szikszai",NA,0
"136","Forrest Imel",NA,0
"137","Steve Prescott",NA,0
"138","Yohann Schepacz",NA,0
"139","James Ryman",NA,0
"140","Edward P. Beard, Jr.",NA,0
"141","Amy Weber",NA,0
"142","Jaime Jones",NA,0
"143","David Martin",NA,0
"144","Sam Wood",NA,0
"145","Charles Urbach",NA,0
"146","David Gaillet",NA,0
"147","Donato Giancola",NA,0
