"","SetCode","NoCopies","Winrate"
"1","MH2",1203,0.713
"2","MH1",676,0.707
"3","LEA",620,0.715
"4","ELD",409,0.708
"5","ONS",365,0.709
"6","RAV",303,0.706
"7","WWK",271,0.711
"8","FUT",257,0.701
"9","KLD",246,0.707
"10","DIS",213,0.721
"11","ZNR",200,0.719
"12","GPT",180,0.708
"13","WAR",174,0.736
"14","THB",172,0.721
"15","LRW",162,0.715
"16","NPH",158,0.713
"17","5DN",151,0.705
"18","DKA",145,0.705
"19","AER",137,0.712
"20","M20",137,0.71
"21","ZEN",134,0.706
"22","CON",133,0.7
"23","TSP",130,0.692
"24","ARB",124,0.712
"25","M11",122,0.688
"26","AKH",122,0.694
"27","KTK",115,0.683
"28","IKO",105,0.729
"29","ISD",103,0.701
"30","SHM",103,0.679
"31","SOM",101,0.725
"32","ROE",92,0.715
"33","DST",90,0.737
"34","EMN",87,0.701
"35","STX",80,0.733
"36","HOU",78,0.705
"37","M21",75,0.712
"38","RTR",74,0.722
"39","AVR",72,0.708
"40","CSP",72,0.7
"41","OGW",72,0.716
"42","SOK",67,0.719
"43","XLN",64,0.688
"44","DRK",64,0.713
"45","MRD",56,0.758
"46","SOI",54,0.691
"47","RNA",53,0.689
"48","PLS",52,0.746
"49","GRN",49,0.736
"50","ICE",49,0.656
"51","DOM",48,0.712
"52","CHK",45,0.69
"53","APC",44,0.702
"54","MBS",41,0.736
"55","M12",39,0.715
"56","EVE",39,0.713
"57","INV",38,0.7
"58","PLC",35,0.709
"59","GTC",35,0.619
"60","DTK",34,0.706
"61","M10",33,0.698
"62","ALA",32,0.698
"63","JOU",32,0.67
"64","MIR",31,0.688
"65","STH",30,0.72
"66","JUD",29,0.705
"67","ATQ",27,0.733
"68","THS",25,0.704
"69","M19",23,0.743
"70","M15",22,0.709
"71","BFZ",21,0.706
"72","NEM",18,0.656
"73","DGM",15,0.735
"74","KHM",15,0.708
"75","TMP",15,0.682
"76","WTH",14,0.703
"77","CMD",13,0.702
"78","PTK",13,0.633
"79","ORI",11,0.794
"80","FRF",11,0.69
"81","LEG",10,0.725
"82","ARN",9,0.682
"83","ULG",8,0.674
"84","CN2",8,0.654
"85","P02",6,0.727
"86","BNG",5,0.667
"87","ODY",3,0.643
"88","MOR",2,0.571
"89","VIS",1,0.714
