"","CardNames","DeckCount","Winrate95Min"
"1","Scalding Tarn",101,71.6
"2","Spirebluff Canal",66,71.5
"3","Steam Vents",103,71.4
"4","Expressive Iteration",36,70.8
"5","Force of Negation",59,70.7
"6","Unholy Heat",40,70.5
"7","Dragon's Rage Channeler",54,70.4
"8","Flooded Strand",68,70.3
"9","Mishra's Bauble",83,70.3
"10","Misty Rainforest",102,70.2
"11","Counterspell",44,70
"12","Serum Visions",34,69.9
"13","Island",123,69.8
"14","Murktide Regent",13,69.7
"15","Thought Scour",13,69.7
"16","Lightning Bolt",96,69.5
"17","Fiery Islet",35,69.4
"18","Ragavan, Nimble Pilferer",59,69.4
"19","Hallowed Fountain",48,69
"20","Urza's Saga",69,69
"21","Forest",103,68.9
"22","Teferi, Time Raveler",37,68.8
"23","Stoneforge Mystic",34,68.7
"24","Breeding Pool",70,68.6
"25","Violent Outburst",34,68.3
"26","Raugrin Triome",29,68.2
"27","Mountain",83,68.2
"28","Shadowspear",29,67.8
"29","Stomping Ground",54,67.8
"30","Swamp",85,67.8
"31","Snapcaster Mage",34,67.7
"32","Brazen Borrower",34,67.6
"33","Inkmoth Nexus",21,67.5
"34","Subtlety",22,67.5
"35","Street Wraith",37,67.5
"36","Shardless Agent",40,67.5
"37","Bloodstained Mire",54,67.5
"38","Wooded Foothills",65,67.5
"39","Polluted Delta",59,67.4
"40","Jace, the Mind Sculptor",21,67.3
"41","Archmage's Charm",25,67.3
"42","Cryptic Command",26,67.3
"43","Prismatic Ending",25,67.3
"44","Stormwing Entity",13,66.8
"45","Waker of Waves",12,66.7
"46","Batterskull",19,66.6
"47","Springleaf Drum",26,66.6
"48","Fatal Push",43,66.6
"49","Gemstone Caverns",13,66.4
"50","Watery Grave",44,66.4
