"","CardNames","DeckCount","WinrateAverage"
"1","Voice of Resurgence",1,100
"2","Expressive Iteration",1,100
"3","Deafening Silence",1,88.9
"4","Ethersworn Canonist",1,88.9
"5","Shadowspear",2,87.5
"6","Spreading Seas",2,85
"7","Jace, Vryn's Prodigy",4,82.8
"8","Grist, the Hunger Tide",3,82.6
"9","Ashen Rider",2,81.8
"10","Stoneforge Mystic",2,81.8
"11","Solitude",3,80
"12","Slaughter Games",1,80
"13","Darkblast",1,80
"14","Crackling Drake",1,80
"15","Unmoored Ego",10,79
"16","Eidolon of Rhetoric",2,78.6
"17","Rule of Law",5,78.4
"18","Kaya, Orzhov Usurper",7,77.8
"19","Run Afoul",6,77.8
"20","Seal of Removal",4,77.8
"21","Sword of Fire and Ice",3,77.8
"22","Batterskull",3,77.8
"23","Serra's Emissary",3,77.8
"24","Big Game Hunter",2,77.8
"25","Remand",2,77.8
"26","Extirpate",1,77.8
"27","Sphere of Annihilation",1,77.8
"28","Spirit Link",1,77.8
"29","Ragavan, Nimble Pilferer",1,77.8
"30","Obosh, the Preypiercer",1,77.8
"31","Scourge of the Skyclaves",1,77.8
"32","Obstinate Baloth",3,77.3
"33","Defense Grid",9,76.9
"34","Forest",2,76.9
"35","Necromentia",2,76.9
"36","Crumble to Dust",10,76.6
"37","Skysovereign, Consul Flagship",7,76.5
"38","Damn",4,76.5
"39","Damping Matrix",2,76.5
"40","Nature's Claim",11,76.4
"41","Firespout",6,76.2
"42","Teferi, Hero of Dominaria",3,76
"43","Ratchet Bomb",7,75.9
"44","On Thin Ice",5,75.8
"45","Doom Blade",5,75.8
"46","Kaheera, the Orphanguard",29,75.7
"47","Wurmcoil Engine",10,75.7
"48","Angrath's Rampage",6,75.6
"49","Leyline of Sanctity",11,75.4
"50","Fury",22,75.3
