"","CardNames","DeckCount","WinrateAverage"
"1","Scalding Tarn",492,72.3
"2","Steam Vents",474,72.8
"3","Island",460,72.8
"4","Lightning Bolt",412,71.7
"5","Misty Rainforest",366,72.8
"6","Forest",352,73.2
"7","Wooded Foothills",348,72.3
"8","Mishra's Bauble",347,72
"9","Mountain",330,72.5
"10","Stomping Ground",321,72.8
"11","Flooded Strand",308,73.1
"12","Dragon's Rage Channeler",291,71.9
"13","Plains",284,72.5
"14","Ragavan, Nimble Pilferer",283,72
"15","Unholy Heat",270,71.9
"16","Breeding Pool",255,73.2
"17","Bloodstained Mire",255,71.7
"18","Urza's Saga",251,72.9
"19","Sacred Foundry",239,72
"20","Spirebluff Canal",226,72.3
"21","Prismatic Ending",223,72.9
"22","Expressive Iteration",208,71.7
"23","Shadowspear",206,72.2
"24","Polluted Delta",206,72.2
"25","Swamp",191,71.7
"26","Teferi, Time Raveler",188,72.5
"27","Counterspell",184,72
"28","Blood Crypt",184,71.8
"29","Raugrin Triome",179,72.9
"30","Force of Negation",175,73.1
"31","Wrenn and Six",172,72.7
"32","Brazen Borrower",171,73.4
"33","Arid Mesa",167,71
"34","Fiery Islet",163,71.9
"35","Stoneforge Mystic",163,71.9
"36","Archmage's Charm",155,72.4
"37","Inquisition of Kozilek",155,72.5
"38","Ketria Triome",153,73.6
"39","Springleaf Drum",151,72.4
"40","Inkmoth Nexus",151,72.4
"41","Shardless Agent",150,73.8
"42","Violent Outburst",149,73.9
"43","Thoughtseize",149,71.5
"44","Snapcaster Mage",146,72.9
"45","Ornithopter",141,72.7
"46","Silent Clearing",141,72.8
"47","Hallowed Fountain",141,72.3
"48","Murktide Regent",139,71.9
"49","Memnite",138,72.7
"50","Esper Sentinel",136,72.1
