"","CardNames","DeckCount","WinrateAverage"
"1","Voice of Resurgence",1,100
"2","Expressive Iteration",1,100
"3","Inquisition of Kozilek",1,100
"4","Guttural Response",1,100
"5","Mana Tithe",1,100
"6","Expedition Map",3,91.7
"7","Ethersworn Canonist",3,87
"8","Void Winnower",3,86.7
"9","Deafening Silence",2,84.6
"10","Grist, the Hunger Tide",4,83.9
"11","Ashen Rider",2,81.8
"12","Stoneforge Mystic",2,81.8
"13","Flame Blitz",2,81.8
"14","Summary Dismissal",7,80.8
"15","Crackling Drake",1,80
"16","Tempted by the Oriq",4,79.2
"17","Obstinate Baloth",7,78.6
"18","Rule of Law",5,78.4
"19","Kaya, Orzhov Usurper",7,77.8
"20","Toski, Bearer of Secrets",5,77.8
"21","Seal of Removal",5,77.8
"22","Blossoming Calm",5,77.8
"23","Sword of Fire and Ice",3,77.8
"24","Batterskull",3,77.8
"25","Big Game Hunter",2,77.8
"26","Remand",2,77.8
"27","Sphere of Annihilation",1,77.8
"28","Spirit Link",1,77.8
"29","Ragavan, Nimble Pilferer",1,77.8
"30","Shadows' Verdict",1,77.8
"31","Thrun, the Last Troll",1,77.8
"32","Mindslaver",1,77.8
"33","Spellskite",1,77.8
"34","Clout of the Dominus",1,77.8
"35","Hide // Seek",1,77.8
"36","Jace, Vryn's Prodigy",6,77.3
"37","Assassin's Trophy",9,76.9
"38","Pyromancer Ascension",2,76.9
"39","Winds of Abandon",2,76.9
"40","Reclamation Sage",6,76.7
"41","Unmoored Ego",16,76.5
"42","Slaughter Games",2,76.5
"43","Weather the Storm",4,76
"44","Teferi, Hero of Dominaria",3,76
"45","Necromentia",5,75.7
"46","Extirpate",5,75.7
"47","Damn",7,75.5
"48","Skysovereign, Consul Flagship",11,75.3
"49","Crime // Punishment",20,75
"50","Welding Jar",12,75
