"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",406,72.2
"2","Mystical Dispute",364,73.2
"3","Lurrus of the Dream-Den",345,72.3
"4","Chalice of the Void",300,72.8
"5","Force of Vigor",280,73.4
"6","Alpine Moon",265,72
"7","Endurance",228,73.6
"8","Flusterstorm",217,72.9
"9","Pithing Needle",204,72.5
"10","Sanctifier en-Vec",196,71.5
"11","Path to Exile",190,71.9
"12","Blood Moon",189,73.7
"13","Void Mirror",189,72.5
"14","Prismatic Ending",178,72.1
"15","Soul-Guide Lantern",148,72.1
"16","Force of Negation",142,71.8
"17","Aether Gust",132,71.9
"18","Veil of Summer",132,71.5
"19","Foundation Breaker",130,72.9
"20","Seal of Cleansing",118,73.1
"21","Wear // Tear",117,72
"22","Subtlety",109,72.8
"23","Nihil Spellbomb",108,72.3
"24","Tormod's Crypt",104,72.4
"25","Torpor Orb",104,73.6
"26","Abrade",99,72.1
"27","Kozilek's Return",90,72
"28","Rest in Peace",89,71.5
"29","Relic of Progenitus",89,72.6
"30","Drannith Magistrate",84,71.6
"31","Emrakul, the Aeons Torn",74,72.3
"32","Manriki-Gusari",72,71.1
"33","Spell Pierce",70,71.7
"34","Thoughtseize",67,70.4
"35","Terminate",67,72.6
"36","Shattering Spree",66,70.3
"37","Ancient Grudge",63,72.6
"38","Brazen Borrower",59,71
"39","Dovin's Veto",56,73.5
"40","Kaheera, the Orphanguard",52,73.4
"41","Celestial Purge",50,74.1
"42","Kolaghan's Command",50,71.7
"43","Anger of the Gods",47,73.3
"44","Ensnaring Bridge",47,70.6
"45","Kozilek, Butcher of Truth",46,71.2
"46","Fracturing Gust",46,73.9
"47","Liquimetal Coating",43,71.3
"48","Smash to Smithereens",43,69.6
"49","Dismember",42,70.7
"50","Timely Reinforcements",38,70.1
