"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","WaToO",4,"Azorius Control; Creativity Combo","3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-15#watoo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-08-16#watoo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-22#watoo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-29#watoo_st_place"
"2","MaxMagicer",4,"Temur Footfalls","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-16#maxmagicer_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-08-16#maxmagicer_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#maxmagicer_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-29#maxmagicer_rd_place"
"3","O_danielakos",3,"Izzet Prowess; Izzet Murktide","1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-30#o_danielakos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#o_danielakos_th_place"
"4","Suicidal_Eidolon",3,"Hammer Time; Green Tron","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-12#suicidal_eidolon_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#suicidal_eidolon_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-30#suicidal_eidolon_nd_place"
"5","bobthedog",3,"Jeskai Control; Izzet Murktide","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-19#bobthedog_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-23#bobthedog_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#bobthedog_st_place"
"6","Sodeq",3,"Blue Living End; Belcher","2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-19#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-22#sodeq_th_place"
"7","D00mwake",3,"Temur Footfalls","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-15#dmwake_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-05#dmwake_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-12#dmwake_th_place"
"8","Laplasjan",3,"Hammer Time","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-06#laplasjan_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-12#laplasjan_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-13#laplasjan_th_place"
"9","Do0mSwitch",2,"Izzet Murktide","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-25#domswitch_nd_place"
"10","Thunderstriker7",2,"Rakdos Midrange","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-11#thunderstriker_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-08-01#thunderstriker_th_place"
"11","MrRaeb",2,"Taking Turns; Creativity Combo","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-12#mrraeb_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-16#mrraeb_th_place"
