"","CardNames","DeckCount","Winrate95Min"
"1","Prismatic Ending",23,68.1
"2","Pithing Needle",20,67
"3","Lurrus of the Dream-Den",32,66.9
"4","Seal of Cleansing",16,66.2
"5","Path to Exile",19,66.1
"6","Endurance",10,65.5
"7","Sanctifier en-Vec",24,65.5
"8","Mystical Dispute",29,65.3
"9","Blood Moon",20,64.8
"10","Chalice of the Void",33,64.8
"11","Engineered Explosives",37,64.8
"12","Force of Vigor",17,64.7
"13","Tormod's Crypt",16,64.3
"14","Anger of the Gods",5,64
"15","Fragmentize",12,63.2
"16","Relic of Progenitus",12,63.2
"17","Void Mirror",12,63.2
"18","Fury",5,62.9
"19","Alpine Moon",20,62.9
"20","Drannith Magistrate",13,62.8
"21","Shattering Spree",13,62.8
"22","Nihil Spellbomb",13,62.5
"23","Aether Gust",23,62.4
"24","Veil of Summer",14,61.8
"25","Spell Pierce",16,61.1
"26","Abrade",18,61
"27","Celestial Purge",5,60.5
"28","Thoughtseize",10,60.5
"29","Flusterstorm",7,60.3
"30","Jace, the Mind Sculptor",6,59.7
"31","Kozilek's Return",6,59.7
"32","Pyrite Spellbomb",7,59.7
"33","Emrakul, the Aeons Torn",8,59.2
"34","Soul-Guide Lantern",13,59.1
"35","Force of Negation",15,59
"36","Wear // Tear",8,58.7
"37","Timely Reinforcements",6,58.2
"38","Brazen Borrower",7,57.3
"39","Leyline of the Void",6,56.7
"40","Subtlety",12,56.6
"41","Teferi, Time Raveler",6,56.5
"42","Terminate",3,56.4
"43","Surgical Extraction",7,55.9
"44","Fatal Push",6,55.1
"45","Ashiok, Dream Render",5,53.5
"46","Nahiri, the Harbinger",3,53.3
"47","Kataki, War's Wage",6,52.9
"48","Dismember",4,52.8
"49","Kaya's Guile",2,52.4
"50","Teferi, Hero of Dominaria",2,52.4
