"","SetCode","NoCopies","Winrate"
"1","MH2",1037,0.718
"2","LEA",541,0.711
"3","MH1",437,0.715
"4","ZEN",371,0.711
"5","ONS",289,0.713
"6","5DN",194,0.711
"7","GPT",177,0.716
"8","WWK",168,0.73
"9","SOM",167,0.728
"10","LRW",165,0.72
"11","ELD",163,0.717
"12","KLD",158,0.709
"13","M20",153,0.711
"14","CSP",135,0.706
"15","NPH",128,0.721
"16","ICE",125,0.725
"17","STX",123,0.704
"18","THB",120,0.723
"19","MRD",108,0.718
"20","IKO",107,0.725
"21","RAV",107,0.706
"22","FUT",101,0.709
"23","WAR",100,0.706
"24","ATQ",95,0.726
"25","DIS",95,0.716
"26","ZNR",88,0.684
"27","ROE",86,0.712
"28","MBS",80,0.722
"29","CON",80,0.728
"30","AER",79,0.713
"31","EMN",75,0.746
"32","DKA",68,0.686
"33","OGW",68,0.719
"34","DRK",67,0.722
"35","ARB",57,0.716
"36","SHM",57,0.719
"37","HOU",54,0.692
"38","TSP",53,0.721
"39","SOK",50,0.724
"40","AFR",46,0.724
"41","PLS",45,0.727
"42","DTK",44,0.728
"43","ISD",42,0.694
"44","DST",42,0.687
"45","AKH",37,0.699
"46","RTR",36,0.71
"47","M12",36,0.703
"48","M21",35,0.707
"49","PC2",32,0.739
"50","AVR",32,0.693
"51","XLN",30,0.68
"52","KTK",28,0.698
"53","NEM",28,0.739
"54","APC",26,0.772
"55","TMP",26,0.73
"56","CHK",25,0.705
"57","DGM",25,0.709
"58","ALA",23,0.744
"59","BFZ",22,0.729
"60","PTK",20,0.681
"61","EVE",18,0.667
"62","M11",17,0.718
"63","SOI",17,0.726
"64","JUD",16,0.727
"65","STH",15,0.73
"66","DOM",15,0.688
"67","PLC",14,0.713
"68","MOR",13,0.717
"69","RNA",10,0.711
"70","P02",9,0.688
"71","WTH",9,0.718
"72","THS",8,0.783
"73","GRN",8,0.674
"74","KHM",7,0.725
"75","CN2",6,0.667
"76","M15",4,0.708
"77","M13",4,0.625
"78","C14",4,0.625
"79","ULG",3,0.68
"80","LEG",2,0.765
"81","ARN",2,0.75
"82","INV",2,0.714
"83","BNG",1,0.75
