"","CardNames","DeckCount","Winrate95Min"
"1","Pithing Needle",59,70
"2","Mystical Dispute",105,69.6
"3","Seal of Cleansing",45,69.4
"4","Lurrus of the Dream-Den",98,69.3
"5","Anger of the Gods",27,69.1
"6","Sanctifier en-Vec",72,69.1
"7","Prismatic Ending",65,69
"8","Chalice of the Void",93,68.9
"9","Path to Exile",54,68.7
"10","Tormod's Crypt",41,68.6
"11","Blood Moon",59,68.1
"12","Force of Vigor",65,68.1
"13","Flusterstorm",42,68
"14","Aether Gust",67,67.9
"15","Engineered Explosives",110,67.8
"16","Endurance",50,67.5
"17","Fragmentize",21,67.3
"18","Alpine Moon",61,67.3
"19","Fury",18,67.2
"20","Nihil Spellbomb",41,66.6
"21","Kozilek's Return",28,66.4
"22","Abrade",47,66.1
"23","Void Mirror",33,65.9
"24","Drannith Magistrate",35,65.7
"25","Teferi, Time Raveler",13,65.6
"26","Soul-Guide Lantern",42,65.5
"27","Counterspell",9,65.4
"28","Relic of Progenitus",23,65.2
"29","Subtlety",33,64.9
"30","Force of Negation",42,64.8
"31","Veil of Summer",36,64.3
"32","Foundation Breaker",30,64.1
"33","Spell Pierce",29,64
"34","Wear // Tear",24,63.9
"35","Manriki-Gusari",26,63.5
"36","Shattering Spree",27,63.5
"37","Fatal Push",11,62.6
"38","Brazen Borrower",23,62.6
"39","Crumble to Dust",5,62.2
"40","Rule of Law",2,62.1
"41","Spreading Seas",2,62.1
"42","Dispel",10,61.9
"43","Terminate",15,61.8
"44","Emrakul, the Aeons Torn",21,61.6
"45","Pyrite Spellbomb",13,61.2
"46","Thoughtseize",21,60.8
"47","Ancient Grudge",13,60.5
"48","Hurkyl's Recall",12,60.5
"49","Kaheera, the Orphanguard",7,60.4
"50","Stony Silence",8,60.3
