"","CardNames","DeckCount","Winrate95Min"
"1","Island",242,71
"2","Flooded Strand",161,70.6
"3","Steam Vents",228,70.6
"4","Misty Rainforest",182,70.5
"5","Scalding Tarn",260,70.4
"6","Brazen Borrower",87,70.1
"7","Shardless Agent",83,69.9
"8","Violent Outburst",83,69.9
"9","Archmage's Charm",91,69.9
"10","Prismatic Ending",109,69.9
"11","Forest",190,69.9
"12","Chalice of the Void",40,69.8
"13","Nihil Spellbomb",41,69.7
"14","Force of Negation",95,69.7
"15","Breeding Pool",117,69.7
"16","Spirebluff Canal",99,69.6
"17","Ragavan, Nimble Pilferer",151,69.6
"18","Dragon's Rage Channeler",157,69.6
"19","Stomping Ground",172,69.6
"20","Snapcaster Mage",58,69.5
"21","Unholy Heat",139,69.5
"22","Mishra's Bauble",181,69.5
"23","Verdant Catacombs",64,69.4
"24","Fire // Ice",78,69.4
"25","Counterspell",97,69.4
"26","Polluted Delta",107,69.4
"27","Wooded Foothills",191,69.4
"28","Overgrown Tomb",63,69.3
"29","Lightning Bolt",213,69.3
"30","Pithing Needle",31,69.2
"31","Prismari Command",81,69.1
"32","Plains",140,69.1
"33","Mountain",167,69.1
"34","Inquisition of Kozilek",76,69
"35","Hallowed Fountain",73,69
"36","Urza's Saga",137,69
"37","Pyrite Spellbomb",44,68.9
"38","Gemstone Caverns",55,68.9
"39","Tarmogoyf",56,68.9
"40","Dead // Gone",48,68.8
"41","Blackcleave Cliffs",70,68.8
"42","Thought Scour",62,68.8
"43","Sunken Ruins",21,68.7
"44","Fact or Fiction",25,68.7
"45","Ketria Triome",79,68.7
"46","Wrenn and Six",89,68.7
"47","Swamp",96,68.7
"48","Bloodstained Mire",141,68.7
"49","Supreme Verdict",45,68.6
"50","Crashing Footfalls",50,68.6
