"","CardNames","DeckCount","WinrateAverage"
"1","Maddening Cacophony",1,100
"2","Liliana of the Veil",1,100
"3","World Breaker",1,100
"4","Kozilek's Return",1,100
"5","Brainstone",1,100
"6","Whispers of Emrakul",1,100
"7","Elixir of Immortality",2,92.9
"8","Eldrazi Obligator",1,90
"9","Goblin Engineer",3,88.9
"10","Ensnaring Bridge",3,88.9
"11","Witching Well",3,88.9
"12","Zulaport Cutthroat",2,88.9
"13","Temur Battle Rage",2,87.5
"14","Galvanic Blast",2,87.5
"15","Omnath, Locus of the Roil",2,87.5
"16","Tangled Florahedron",2,87.5
"17","Darkbore Pathway",1,87.5
"18","Silverbluff Bridge",4,86.4
"19","Reclamation Sage",2,84.2
"20","Glimmervoid",6,82.9
"21","Hapatra, Vizier of Poisons",4,81.8
"22","Prosperous Innkeeper",4,81.8
"23","Grove of the Burnwillows",2,81.8
"24","Unburial Rites",2,81.8
"25","Unmarked Grave",2,81.8
"26","Tarfire",3,81.2
"27","Abrade",3,81
"28","Spire of Industry",8,80.4
"29","Whir of Invention",5,79.3
"30","Portable Hole",5,79.3
"31","Sword of the Meek",5,79.3
"32","Thopter Foundry",5,79.3
"33","Scourge of the Skyclaves",8,79.1
"34","Castle Ardenvale",11,78.9
"35","Urza, Lord High Artificer",6,78.9
"36","Talisman of Progress",6,78.9
"37","Shatterskull Smashing",6,78.9
"38","Cyclonic Rift",1,77.8
"39","Talisman of Curiosity",1,77.8
"40","Talisman of Dominance",1,77.8
"41","Trinisphere",1,77.8
"42","Jace, Vryn's Prodigy",1,77.8
"43","Lair of the Hydra",1,77.8
"44","Hall of Storm Giants",5,77.5
"45","Seal of Removal",8,76.9
"46","Seal of Fire",5,76.9
"47","Condescend",2,76.9
"48","Spatial Contortion",2,76.9
"49","Thirst for Knowledge",2,76.9
"50","Myr Enforcer",2,76.9
