"","Artist","NoCopies","Winrate"
"1","Rob Alexander",2788,0.727
"2","Mark Poole",1124,0.717
"3","Christopher Rush",997,0.711
"4","Eric Deschamps",767,0.71
"5","John Stanko",685,0.728
"6","Anastasia Ovchinnikova",622,0.716
"7","Svetlin Velinov",597,0.719
"8","Jung Park",576,0.714
"9","Chris Rallis",570,0.734
"10","Shelly Wan",568,0.718
"11","Alayna Danner",548,0.714
"12","Izzy",514,0.727
"13","Chippy",509,0.715
"14","Cyril Van Der Haegen",499,0.714
"15","Titus Lunter",487,0.71
"16","Philip Straub",476,0.715
"17","Mark Zug",457,0.72
"18","Jason Chan",457,0.708
"19","Ron Spears",450,0.725
"20","Jesper Myrfors",434,0.726
"21","Simon Dominic",430,0.714
"22","Yeong-Hao Han",422,0.714
"23","Paul Scott Canavan",409,0.729
"24","Evan Shipard",399,0.731
"25","Randy Vargas",395,0.72
"26","Terese Nielsen",389,0.728
"27","Adam Paquette",387,0.699
"28","Jonas De Ro",371,0.726
"29","Martina Fackova",370,0.712
"30","Aleksi Briclot",367,0.741
"31","Franz Vohwinkel",351,0.726
"32","Seb McKinnon",348,0.683
"33","Raoul Vitale",340,0.737
"34","Ekaterina Burmak",336,0.713
"35","James Paick",328,0.724
"36","Mark Tedin",321,0.707
"37","Sam Burley",320,0.713
"38","John Avon",318,0.722
"39","Kari Christensen",304,0.704
"40","Howard Lyon",293,0.699
"41","Pete Venters",290,0.713
"42","Chase Stone",278,0.714
"43","Mike Bierek",278,0.702
"44","Dmitry Burmak",277,0.7
"45","Amy Weber",268,0.71
"46","Douglas Shuler",267,0.727
"47","Tom Wänerstrand",264,0.719
"48","Lucas Graciano",261,0.719
"49","Raymond Swanland",258,0.713
"50","Kev Walker",258,0.727
"51","Warren Mahy",255,0.72
"52","Cliff Childs",252,0.717
"53","Todd Lockwood",250,0.714
"54","Vance Kovacs",249,0.7
"55","Ryan Pancoast",244,0.738
"56","Richard Whitters",240,0.714
"57","Chris Rahn",236,0.734
"58","Michael C. Hayes",231,0.706
"59","Dave Kendall",224,0.734
"60","Lake Hurwitz",224,0.71
"61","Johannes Voss",217,0.713
"62","Steve Argyle",216,0.729
"63","Matt Stewart",213,0.72
"64","Zoltan Boros",209,0.73
"65","Tomasz Jedruszek",202,0.721
"66","David Martin",199,0.699
"67","Anthony S. Waters",197,0.738
"68","Erica Yang",196,0.717
"69","Bastien L. Deharme",188,0.742
"70","Michael Sutfin",185,0.723
"71","Campbell White",178,0.72
"72","Jason Rainville",176,0.72
"73","Caio Monteiro",172,0.723
"74","Fred Fields",168,0.736
"75","Justin Murray",168,0.723
"76","Dan Scott",163,0.715
"77","David Rapoza",160,0.694
"78","Heonhwa Choe",155,0.727
"79","Christine Choi",154,0.699
"80","Slawomir Maniak",154,0.724
"81","Anson Maddocks",145,0.709
"82","Daarken",143,0.709
"83","Vincent Proce",134,0.708
"84","Jean-Sébastien Rossbach",132,0.69
"85","Antonio José Manzanedo",129,0.741
"86","Cynthia Sheppard",126,0.724
"87","Adam Rex",126,0.711
"88","Jason Felix",118,0.705
"89","Nicholas Elias",114,0.714
"90","Martina Pilcerova",105,0.724
"91","Greg Hildebrandt",105,0.695
"92","Dimitar Marinski",104,0.732
"93","Greg Staples",103,0.713
"94","Richard Wright",102,0.711
"95","Tomas Giorello",100,0.713
"96","Ben Thompson",98,0.7
"97","Steven Belledin",97,0.725
"98","Volkan Baǵa",95,0.696
"99","Eric Fortune",90,0.762
"100","Heather Hudson",89,0.717
"101","Kieran Yanner",88,0.697
"102","Yongjae Choi",87,0.74
"103","Craig J Spearing",87,0.709
"104","Christopher Moeller",86,0.692
"105","Nicholas Gregory",82,0.706
"106","Johan Grenier",80,0.778
"107","Jim Nelson",76,0.715
"108","Victor Adame Minguez",75,0.708
"109","Wisnu Tan",73,0.667
"110","Mark Winters",72,0.734
"111","Noah Bradley",69,0.711
"112","Dan Frazier",66,0.717
"113","John Matson",63,0.736
"114","Daniel Ljunggren",63,0.675
"115","Magali Villeneuve",58,0.72
"116","Filip Burburan",57,0.709
"117","Zezhou Chen",53,0.693
"118","Pat Morrissey",52,0.737
"119","Jesper Ejsing",51,0.723
"120","rk post",51,0.695
"121","Lius Lasahido",49,0.734
"122","Darrell Riche",49,0.716
"123","Michael Komarck",48,0.679
"124","Iain McCaig",47,0.695
"125","Scott Murphy",46,0.717
"126","DiTerlizzi",46,0.719
"127","Drew Tucker",45,0.75
"128","Wayne England",45,0.682
"129","Ilse Gort",44,0.769
"130","Karl Kopinski",42,0.718
"131","Jeff Miracola",42,0.714
"132","Alex Horley-Orlandelli",40,0.667
"133","Nils Hamm",38,0.7
"134","Johann Bodin",38,0.657
"135","Luca Zontini",37,0.672
"136","Scott M. Fischer",36,0.661
"137","Steve Prescott",33,0.76
"138","Zoltan Boros & Gabor Szikszai",33,0.701
"139","Caroline Gariba",32,0.75
"140","Milivoj Ćeran",31,0.771
"141","Charles Urbach",29,0.795
"142","Mark A. Nelson",29,0.683
"143","Andrew Mar",28,0.805
"144","Stephen Tappin",28,0.712
"145","E. M. Gist",28,0.682
"146","Lie Setiawan",28,0.656
"147","Lars Grant-West",27,0.72
"148","Austin Hsu",27,0.7
"149","Jaime Jones",26,0.698
"150","Mark Brill",25,0.71
"151","Lucas Staniec",25,0.712
"152","Randy Gallegos",25,0.764
"153","Piotr Dura",23,0.719
"154","Wayne Reynolds",23,0.686
"155","Tony Szczudlo",23,0.667
"156","Livia Prima",23,0.676
"157","Deruchenko Alexander",22,0.686
"158","Sarah Finnigan",21,0.715
"159","Alexander Forssberg",21,0.684
"160","Sam Wood",20,0.655
"161","Brian Snõddy",20,0.633
"162","Khang Le",19,0.701
"163","Igor Kieryluk",19,0.754
"164","Chris Ostrowski",18,0.66
"165","Winona Nelson",17,0.723
"166","Bryan Sola",16,0.69
"167","Edward P. Beard, Jr.",16,0.692
"168","Dominick Domingo",16,0.679
"169","Sidharth Chaturvedi",16,0.721
"170","Richard Kane Ferguson",15,0.69
"171","Willian Murai",15,0.647
"172","Brom",14,0.736
"173","John Howe",14,0.643
"174","Grzegorz Rutkowski",14,0.636
"175","James Ryman",14,0.744
"176","Mathias Kollros",13,0.735
"177","Peter Mohrbacher",13,0.677
"178","Mitchell Malloy",12,0.765
"179","Florian de Gesincourt",12,0.714
"180","Carl Critchlow",12,0.727
"181","Donato Giancola",12,0.621
"182","Wesley Burt",12,0.667
"183","Ryan Yee",11,0.72
"184","Jim Murray",11,0.667
"185","Cristi Balanescu",10,0.689
"186","Iris Compiet",9,0.706
"187","Joseph Meehan",9,0.69
"188","Phil Foglio",9,0.75
"189","Marc Simonetti",8,0.8
"190","Bram Sels",8,0.875
"191","Andreas Rocha",8,0.714
"192","Jakub Kasper",8,0.636
"193","Robbie Trevino",8,0.571
"194","Mike Dringenberg",8,0.714
"195","Zack Stella",7,0.691
"196","Ralph Horsley",7,0.75
"197","Tyler Jacobson",6,0.784
"198","Dave Dorman",6,0.68
"199","Don Hazeltine",6,0.667
"200","Mitsuaki Sagiri",6,0.688
"201","Tyler Walpole",6,0.636
"202","D. Alexander Gregory",6,0.619
"203","Chris Cold",6,0.72
"204","David Hudnut",5,0.733
"205","Jana Schirmer & Johannes Voss",5,0.688
"206","Jokubas Uogintas",5,0.727
"207","Hideaki Takamura",4,0.679
"208","Nicola Leonard",4,0.714
"209","Josu Hernaiz",4,1
"210","Daniel Zrom",4,0.75
"211","Bud Cook",4,0.75
"212","Thomas M. Baxa",4,0.75
"213","Adi Granov",4,0.714
"214","Uriah Voth",4,0.714
"215","Ron Spencer",4,0.714
"216","Alex Konstad",4,0.571
"217","Marta Nael",4,0.571
"218","Lindsey Look",3,0.714
"219","Pauline Voss",3,1
"220","Anthony Francisco",3,0.667
"221","Jeremy Jarvis",3,0.636
"222","Ravenna Tran",3,0.571
"223","Anna Podedworna",3,0.571
"224","Yohann Schepacz",2,0.778
"225","Bryon Wackwitz",2,0.714
"226","Chris Seaman",2,0.643
