"","CardNames","DeckCount","Winrate95Min"
"1","Mulldrifter",23,71.2
"2","Sacred Foundry",109,70.7
"3","Prismatic Ending",136,70.7
"4","Fury",81,70.5
"5","Hallowed Fountain",114,70.5
"6","Marsh Flats",36,70.4
"7","Flooded Strand",181,70.4
"8","Solitude",103,70.2
"9","Godless Shrine",36,70.1
"10","Teferi, Time Raveler",116,70.1
"11","Ephemerate",38,70
"12","Raugrin Triome",100,70
"13","Risen Reef",20,69.8
"14","Plains",161,69.8
"15","Windswept Heath",59,69.7
"16","Island",213,69.6
"17","Stomping Ground",138,69.5
"18","Thoughtseize",50,69.4
"19","Wooded Foothills",167,69.4
"20","Lightning Bolt",181,69.3
"21","Misty Rainforest",198,69.3
"22","Snow-Covered Swamp",20,69.2
"23","Omnath, Locus of Creation",41,69.2
"24","Mountain",144,69.1
"25","Glacial Fortress",44,69
"26","Inspiring Vantage",56,69
"27","Arid Mesa",79,69
"28","Polluted Delta",99,68.9
"29","Scalding Tarn",192,68.9
"30","Darkslick Shores",13,68.8
"31","Mystic Gate",63,68.8
"32","Bloodstained Mire",92,68.8
"33","Temple Garden",48,68.7
"34","Forest",150,68.7
"35","Utopia Sprawl",32,68.6
"36","Chalice of the Void",71,68.6
"37","Rift Bolt",43,68.5
"38","Castle Vantress",67,68.5
"39","Force of Negation",80,68.5
"40","Breeding Pool",121,68.5
"41","Lightning Helix",54,68.4
"42","Watery Grave",17,68.3
"43","Monastery Swiftspear",51,68.2
"44","Spreading Seas",60,68.2
"45","Steam Vents",170,68.2
"46","Eidolon of the Great Revel",48,68.1
"47","Goblin Guide",48,68.1
"48","Lava Spike",48,68.1
"49","Searing Blaze",48,68.1
"50","Boros Charm",50,68.1
