"","CardNames","DeckCount","WinrateAverage"
"1","Chancellor of the Forge",1,100
"2","Goblin Dark-Dwellers",1,100
"3","Tireless Provisioner",1,100
"4","Wavesifter",1,100
"5","Glimpse of Tomorrow",1,100
"6","Priest of Fell Rites",1,100
"7","Satyr Wayfinder",1,100
"8","Grisly Salvage",1,100
"9","Craterhoof Behemoth",2,87.5
"10","Neoform",2,87.5
"11","Thoughtcast",2,87.5
"12","Tanglepool Bridge",2,87.5
"13","Unmarked Grave",6,84.4
"14","Frogmite",4,82.6
"15","Gingerbrute",4,82.6
"16","Sojourner's Companion",4,82.6
"17","Eladamri's Call",3,81.8
"18","Cathartic Pyre",2,81.8
"19","Darkblast",2,81.8
"20","Thunderkin Awakener",3,81
"21","Batterskull",3,80.8
"22","Archon of Cruelty",7,80.5
"23","Unburial Rites",7,80.5
"24","Spire of Industry",5,80
"25","Vendilion Clique",3,80
"26","Zulaport Cutthroat",3,80
"27","Myr Enforcer",2,80
"28","Signal Pest",2,80
"29","Galvanic Blast",2,80
"30","Silverbluff Bridge",2,80
"31","Den of the Bugbear",1,80
"32","Darkslick Shores",13,79.5
"33","Crypt Incursion",5,78.9
"34","Mulldrifter",23,78.7
"35","Hapatra, Vizier of Poisons",6,78.4
"36","Prosperous Innkeeper",6,78.4
"37","Essence Warden",6,78.4
"38","Voice of Resurgence",3,78.3
"39","Maddening Cacophony",3,78.3
"40","Flamekin Harbinger",12,77.9
"41","Risen Reef",20,77.8
"42","Into the Story",2,77.8
"43","Murderous Cut",2,77.8
"44","Mikokoro, Center of the Sea",2,77.8
"45","Visions of Beyond",10,77.6
"46","Watery Grave",17,77.3
"47","Surgical Extraction",9,77.2
"48","Shelldock Isle",9,77.2
"49","Persist",8,77.1
"50","Snow-Covered Swamp",20,76.9
