"","CardNames","DeckCount","Winrate95Min"
"1","Thoughtseize",74,70.6
"2","Sunset Revelry",59,69.7
"3","Kaheera, the Orphanguard",66,69.7
"4","Engineered Explosives",164,69.7
"5","Lurrus of the Dream-Den",149,69.5
"6","Force of Negation",77,69.4
"7","Endurance",118,69.1
"8","Rest in Peace",92,69
"9","Force of Vigor",123,68.9
"10","Torpor Orb",85,68.5
"11","Flusterstorm",88,68.4
"12","Alpine Moon",99,68.4
"13","Mystical Dispute",147,68.4
"14","Nihil Spellbomb",47,68.2
"15","Smash to Smithereens",48,68.1
"16","Dovin's Veto",71,68.1
"17","Roiling Vortex",45,68
"18","Void Mirror",78,68
"19","Path to Exile",91,67.8
"20","Kor Firewalker",40,67.6
"21","Obsidian Charmaw",25,67.5
"22","Deflecting Palm",37,67.4
"23","Skullcrack",23,67.2
"24","Abrupt Decay",24,67.2
"25","Chalice of the Void",90,67.2
"26","Celestial Purge",38,67
"27","Pithing Needle",82,67
"28","Dennick, Pious Apprentice",2,66.9
"29","Geist of Saint Traft",2,66.9
"30","Spreading Seas",51,66.9
"31","Sanctifier en-Vec",78,66.8
"32","Foundation Breaker",34,66.6
"33","Blood Moon",75,66.6
"34","Soul-Guide Lantern",53,66.5
"35","Yorion, Sky Nomad",22,66
"36","Leyline of the Void",20,65.7
"37","Prismatic Ending",59,65.7
"38","Shark Typhoon",25,65.6
"39","Wear // Tear",20,65.5
"40","Terminate",20,65.1
"41","Doom Blade",13,64.9
"42","Jace, the Mind Sculptor",30,64.7
"43","Kolaghan's Command",17,64.6
"44","Obstinate Baloth",17,64.5
"45","Veil of Summer",42,64.2
"46","Relic of Progenitus",57,64.2
"47","Fatal Push",12,64.1
"48","Klothys, God of Destiny",17,64
"49","Subtlety",27,64
"50","Sphinx of the Final Word",5,63.9
