"","CardNames","DeckCount","WinrateAverage"
"1","Misty Rainforest",63,70.5
"2","Island",62,71.2
"3","Lightning Bolt",60,69.6
"4","Wooded Foothills",55,70.5
"5","Flooded Strand",55,71.2
"6","Scalding Tarn",53,70.5
"7","Steam Vents",53,68.7
"8","Plains",52,70.3
"9","Urza's Saga",47,67.8
"10","Forest",46,69.8
"11","Stomping Ground",45,70.8
"12","Shadowspear",45,67.5
"13","Mountain",43,70.2
"14","Mishra's Bauble",42,68.3
"15","Counterspell",41,71.3
"16","Prismatic Ending",38,72.7
"17","Breeding Pool",36,68.5
"18","Hallowed Fountain",36,72.7
"19","Ragavan, Nimble Pilferer",36,68.7
"20","Bloodstained Mire",36,70
"21","Polluted Delta",36,72.9
"22","Teferi, Time Raveler",34,72.3
"23","Archmage's Charm",34,70.4
"24","Dragon's Rage Channeler",32,69.2
"25","Unholy Heat",32,68.3
"26","Solitude",31,72.1
"27","Wrenn and Six",30,68.9
"28","Blood Crypt",29,69.3
"29","Raugrin Triome",28,72.5
"30","Sacred Foundry",28,71.1
"31","Swamp",28,71.3
"32","Overgrown Tomb",26,70.4
"33","Thoughtseize",26,72.6
"34","Springleaf Drum",26,66.8
"35","Esper Sentinel",26,67
"36","Stoneforge Mystic",26,65.9
"37","Memnite",25,68.2
"38","Ornithopter",25,68.2
"39","Verdant Catacombs",24,70.2
"40","Puresteel Paladin",23,67.1
"41","Colossus Hammer",23,67.1
"42","Sigarda's Aid",23,67.1
"43","Inkmoth Nexus",23,67.1
"44","Silent Clearing",23,66
"45","Expressive Iteration",23,68.2
"46","Fiery Islet",22,70.1
"47","Castle Vantress",22,74.5
"48","Spirebluff Canal",22,65.3
"49","Arid Mesa",22,69
"50","Nihil Spellbomb",21,69.1
