"","CardNames","DeckCount","WinrateAverage"
"1","Elspeth, Sun's Nemesis",1,100
"2","Damn",4,85
"3","Teferi, Hero of Dominaria",4,85
"4","Test of Talents",2,81.8
"5","Ceremonious Rejection",2,81.2
"6","Sphere of Annihilation",2,81.2
"7","Etched Champion",2,80
"8","Experimental Frenzy",2,80
"9","Stubborn Denial",2,80
"10","Damping Matrix",1,80
"11","Wheel of Sun and Moon",1,80
"12","Bloodchief's Thirst",4,79.2
"13","Jegantha, the Wellspring",3,78.9
"14","Klothys, God of Destiny",5,78.4
"15","Surgical Extraction",3,78.3
"16","Grist, the Hunger Tide",1,77.8
"17","Crime // Punishment",1,77.8
"18","Magus of the Moon",1,77.8
"19","Echoing Truth",4,77.4
"20","Obstinate Baloth",4,75.8
"21","Outland Liberator",5,75.7
"22","Wear // Tear",8,75.4
"23","Yorion, Sky Nomad",8,75
"24","Skullcrack",7,75
"25","Run Afoul",3,75
"26","Scavenging Ooze",3,75
"27","Counterspell",3,75
"28","Bojuka Bog",2,75
"29","Extirpate",2,75
"30","Slaughter Pact",1,75
"31","Scapeshift",1,75
"32","Savage Summoning",1,75
"33","Weather the Storm",1,75
"34","Wurmcoil Engine",1,75
"35","Solitude",1,75
"36","Memory Deluge",1,75
"37","Ranger-Captain of Eos",1,75
"38","Goblin Cratermaker",1,75
"39","Curse of Silence",1,75
"40","Skyclave Apparition",1,75
"41","Darksteel Citadel",1,75
"42","Mystic Forge",1,75
"43","Leyline of the Void",7,74.5
"44","Fatal Push",4,74.1
"45","Dovin's Veto",22,74
"46","Monastery Mentor",4,73.9
"47","Containment Priest",2,73.3
"48","Kaya's Guile",2,72.7
"49","Mulldrifter",2,72.7
"50","Abrade",2,72.7
