"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"1","Abbot of Keral Keep",12,3,13,22,59.1,36.4,79.3," 3 Mono Red Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#gabrylele_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#benjamin_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#benjamin_th_place 
","Deruchenko Alexander","R",2,"Creature","ORI",0.1,1.1,4
"2","Abrade",2,2,10,15,66.7,38.4,88.2," 2 Izzet Control 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#tiemuuu_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#tiemuuu_rd_place 
","Jonas De Ro","R",2,"Instant","HOU",0,0.7,1
"3","Abrupt Decay",9,7,44,59,74.6,61.6,85," 7 Jund Saga 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#jeppeapan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#_ilnano__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#jeppeapan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#samlg_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#pokerswizard_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#louisbach_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#samlg_th_place 
","Svetlin Velinov","B,G",2,"Instant","RTR",0.1,2.6,1.3
"4","Abundant Growth",84,21,114,165,69.1,61.4,76," 1 Enchantress 
 16 WURG Blink 
 4 WURG Control 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#kanister_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#jaberwocki_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#altniccolo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#kanister_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#zyuryo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#cftsoc_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#martinezdp_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#zyuryo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#mordekaser_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#bryzem_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#jaberwocki_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#xfile_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#piegonti_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#martinezdp_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#zyuryo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#_batutinha__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#xfile_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#bertram_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#sneakymisato_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#domswitch_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#andyawkward_th_place 
","Vincent Proce","G",1,"Enchantment","AVR",0.5,7.7,4
"5","Abundant Harvest",25,14,78,109,71.6,62.1,79.8," 11 WURG Blink 
 3 WURG Control 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#kanister_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#jaberwocki_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#kanister_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#cftsoc_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#martinezdp_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#mordekaser_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#bryzem_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#piegonti_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#martinezdp_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#_batutinha__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#xfile_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#sneakymisato_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#domswitch_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#andyawkward_th_place 
","Iris Compiet","G",1,"Sorcery","MH2",0.1,5.1,1.8
"6","Academy Ruins",1,1,6,9,66.7,29.9,92.5," 1 Lantern 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#tvigs_th_place 
","Zoltan Boros & Gabor Szikszai","",0,"Land","TSP",0,0.4,1
"7","Ad Nauseam",2,2,10,15,66.7,38.4,88.2," 2 Ad Nauseam 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#aardos_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#selami_th_place 
","Jeremy Jarvis","B",5,"Instant","ALA",0,0.7,1
"8","Adeline, Resplendent Cathar",6,3,15,23,65.2,42.7,83.6," 3 Humans 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#lifore_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#yogi_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#treeborn_th_place 
","Bryan Sola","W",3,"Creature","MID",0,1.1,2
"9","Aether Spellbomb",5,5,27,40,67.5,50.9,81.4," 1 Affinity 
 1 Grinding Breach 
 3 Thopter Urza 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#jamiiejr_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#contraego_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#jiggywiggy_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#ryanwu_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#billsive_th_place 
","Jim Nelson","",1,"Artifact","MRD",0,1.8,1
"10","Aether Vial",25,7,40,58,69,55.5,80.5," 1 Hammer Time 
 3 Humans 
 2 Merfolk 
 1 Mono White Taxes 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#nikachu_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#spiderspace_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#lifore_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#tulio_jaudy_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#nemek_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#yogi_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#treeborn_th_place 
","Greg Hildebrandt","",1,"Artifact","DST",0.1,2.6,3.6
"11","Agadeem's Awakening",3,1,5,8,62.5,24.5,91.5," 1 Grief Blade 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#nazart_st_place 
","Dmitry Burmak","B",3,"Sorcery","ZNR",0,0.4,3
"12","All Is Dust",3,2,11,16,68.8,41.3,89," 1 Eldrazi Tron 
 1 Green Tron 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#yprincipe_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#btail_th_place 
","Jason Felix","",7,"Tribal,Sorcery","ROE",0,0.7,1.5
"13","Amulet of Vigor",64,16,88,130,67.7,58.9,75.6," 16 Amulet Titan 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#nade_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#leviathan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-07#boland_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-08#mcwright__nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#puntthenwhine_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#binolino_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#titasun_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#moniz_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-21#mcwright__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#musasabi_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#mmapson_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#bigjc_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#puntthenwhine_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#bob_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#mistakenn_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#namelessyu_nd_place 
","Warren Mahy","",1,"Artifact","WWK",0.4,5.9,4
"14","Anathemancer",1,1,5,8,62.5,24.5,91.5," 1 Zombardment 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#thediplomancer_th_place 
","Richard Whitters","B,R",3,"Creature","ARB",0,0.4,1
"15","Ancient Stirrings",16,4,24,34,70.6,52.5,84.9," 1 Amulet Titan 
 2 Green Tron 
 1 Lantern 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#goldenkidk_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-11-14#yprincipe_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-28#tvigs_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#mistakenn_th_place 
","Vincent Proce","G",1,"Sorcery","ROE",0.1,1.5,4
"16","Ancient Ziggurat",4,1,6,8,75,34.9,96.8," 1 Humans 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#treeborn_th_place 
","John Avon","",0,"Land","CON",0,0.4,4
"17","Angel's Grace",8,2,10,15,66.7,38.4,88.2," 2 Ad Nauseam 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#aardos_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-22#selami_th_place 
","Mark Zug","W",1,"Instant","TSP",0,0.7,4
"18","Arbor Elf",12,3,12,21,57.1,34,78.2," 3 Gruul Midrange 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#scipios_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#teamgamewarning_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#xfile_th_place 
","rk post","G",1,"Creature","WWK",0.1,1.1,4
