"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",125,70.1
"2","Mystical Dispute",107,71.9
"3","Force of Vigor",76,69.2
"4","Endurance",69,68.3
"5","Flusterstorm",68,69.8
"6","Lurrus of the Dream-Den",68,72.4
"7","Alpine Moon",64,70.2
"8","Relic of Progenitus",59,70.1
"9","Blood Moon",55,70.1
"10","Force of Negation",55,70.3
"11","Dress Down",52,71.1
"12","Chalice of the Void",51,71.3
"13","Nihil Spellbomb",51,70.9
"14","Pithing Needle",49,71.2
"15","Thoughtseize",43,71.2
"16","Jace, the Mind Sculptor",39,71.1
"17","Veil of Summer",38,70.5
"18","Rest in Peace",34,71.4
"19","Prismatic Ending",33,70.5
"20","Spell Pierce",31,72.2
"21","Kaheera, the Orphanguard",30,73
"22","Sanctifier en-Vec",29,70.3
"23","Terminate",28,72.2
"24","Kolaghan's Command",28,72.7
"25","Void Mirror",27,71
"26","Path to Exile",26,68.6
"27","Fury",25,73.5
"28","Yorion, Sky Nomad",25,68.6
"29","Celestial Purge",24,73
"30","Dovin's Veto",24,71.6
"31","Leyline of Sanctity",23,73.4
"32","Foundation Breaker",21,68
"33","Tormod's Crypt",21,69.8
"34","Soul-Guide Lantern",21,70.2
"35","Subtlety",21,73.3
"36","Shark Typhoon",18,73.2
"37","Spreading Seas",18,70.2
"38","Emrakul, the Aeons Torn",18,70.8
"39","Drannith Magistrate",17,68.2
"40","Wear // Tear",16,66.1
"41","Seal of Cleansing",16,69.8
"42","Lightning Helix",16,69.8
"43","Torpor Orb",15,67.5
"44","Emrakul, the Promised End",15,70.6
"45","Tourach, Dread Cantor",15,70
"46","Nature's Claim",14,72.2
"47","Hushbringer",14,68.9
"48","Collective Brutality",13,75.7
"49","Cavern of Souls",13,68.9
"50","Bojuka Bog",13,68.9
