"","SetCode","NoCopies","Winrate"
"1","MH2",751,0.726
"2","MH1",298,0.75
"3","ONS",298,0.729
"4","ZEN",283,0.723
"5","LEA",255,0.711
"6","WWK",135,0.705
"7","WAR",121,0.714
"8","ELD",115,0.719
"9","DIS",114,0.713
"10","RAV",111,0.72
"11","5DN",102,0.742
"12","LRW",102,0.732
"13","M20",100,0.748
"14","STX",96,0.754
"15","GPT",93,0.739
"16","SOM",92,0.723
"17","ICE",85,0.773
"18","CSP",85,0.726
"19","THB",83,0.721
"20","IKO",81,0.734
"21","FUT",74,0.691
"22","AVR",70,0.701
"23","ROE",60,0.717
"24","ZNR",57,0.736
"25","NPH",54,0.759
"26","EMN",41,0.783
"27","KLD",40,0.712
"28","DTK",39,0.728
"29","AFR",39,0.725
"30","MID",33,0.718
"31","ALA",32,0.727
"32","TSP",32,0.674
"33","M11",31,0.674
"34","CHK",30,0.662
"35","DRK",29,0.729
"36","PLS",29,0.726
"37","MBS",25,0.75
"38","AER",24,0.718
"39","MRD",24,0.69
"40","CON",24,0.697
"41","SOK",24,0.737
"42","RTR",23,0.692
"43","KTK",22,0.629
"44","SHM",20,0.633
"45","PLC",19,0.735
"46","ATQ",18,0.783
"47","DOM",17,0.691
"48","GTC",17,0.6
"49","ARB",16,0.737
"50","SOI",15,0.72
"51","VOW",13,0.659
"52","PC2",12,0.714
"53","APC",12,0.714
"54","JOU",12,0.6
"55","RNA",12,0.6
"56","DST",11,0.76
"57","TMP",10,0.809
"58","CMD",10,0.758
"59","M10",9,0.778
"60","M15",6,0.655
"61","OGW",6,0.69
"62","AKH",6,0.714
"63","DGM",6,0.733
"64","ULG",6,0.786
"65","GRN",6,0.6
"66","XLN",5,0.8
"67","HOU",5,0.9
"68","P02",4,0.8
"69","ISD",4,0.643
"70","M12",3,0.8
"71","NEM",3,0.667
"72","EVE",2,0.8
"73","KHM",1,0.8
"74","JUD",1,0.8
"75","MOR",1,0.6
