"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Arcane Proxy",4,4,26,34,76.5,58.8,89.3," 2 Domain Footfalls 
 2 Temur Footfalls 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_ArchaeusDota 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_Onimanu 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0412499780#deck_MissTrigger 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1812502878#deck_batuhang 
","Kekai Kotaki","",7,"Artifact,Creature","BRO",0,0.1,1
"Argoth, Sanctum of Nature",1,1,5,7,71.4,29,96.3," 1 Golgari Midrange 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2012495574#deck_Chipsoss 
","Cristi Balanescu","",0,"Land","BRO",0,0,1
"Audacity",4,1,4,7,57.1,18.4,90.1," 1 Bogles 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_JustBurn420 
","Rudy Siswanto","G",1,"Enchantment","BRO",0,0,4
"Bitter Reunion",30,8,45,62,72.6,59.8,83.1," 1 Breach Titan 
 6 Creativity Combo 
 1 Jund Titan 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2712497537#deck_OxyWithMoxy 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_ForsakenBalerion 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0412499780#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_TGB12 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_Daking3603 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1112501265#deck_Notoriouss 
","Jake Murray","R",2,"Enchantment","BRO",0,0.3,3.8
"Cityscape Leveler",4,2,9,14,64.3,35.1,87.2," 2 Green Tron 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_CannabisBoy 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_coert 
","Leon Tukker","",8,"Artifact,Creature","BRO",0,0.1,2
"Combat Courier",1,1,5,7,71.4,29,96.3," 1 Jeskai Midrange 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1112501265#deck_bbotonline 
","Alix Branwyn","",1,"Artifact,Creature","BRO",0,0,1
"Forging the Anchor",4,1,4,7,57.1,18.4,90.1," 1 Affinity 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0412499780#deck_BERNASTORRES 
","Liiga Smilshkalne","U",3,"Sorcery","BRO",0,0,4
"Haywire Mite",19,19,102,145,70.3,62.2,77.6," 1 Golgari Midrange 
 1 Grinding Breach 
 7 Hammer Time 
 5 Hardened Scales 
 2 Jund Saga 
 1 Temur Saga 
 2 Yawgmoth 
"," https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2022-11-1912495532#deck__Ditlev_ 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2012495574#deck_Chipsoss 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2712497537#deck_BaDzIo 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2712497537#deck_mariogomes097 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2712497537#deck_MrSeri 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_kePs 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_LordEgg 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_Iplantz 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0412499780#deck_LasVegasChaos 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_Iplantz 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1112501265#deck_AttillA 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1112501265#deck_Mindslayer 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_IsolatedSystem 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_AttillA 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_mark_68 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1812502878#deck_slamanscott1228 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1812502878#deck_XxShuicunexX 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1812502878#deck_hunt32 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1812502878#deck_Predicted 
","Izzy","",1,"Artifact,Creature","BRO",0,0.6,1
"Mishra's Command",8,5,27,37,73,55.9,86.2," 5 Creativity Combo 
"," https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0412499780#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_Daking3603 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_NHA37 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1112501265#deck_Notoriouss 
","Dominik Mayer","R",1,"Sorcery","BRO",0,0.2,1.6
"Mishra's Research Desk",9,9,55,74,74.3,62.8,83.8," 1 Asmo Food 
 7 Grinding Breach 
 1 Jund Saga 
"," https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2022-11-1912495532#deck_Sanitoeter 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2612497530#deck_LuisMJ 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2612497530#deck_hcook725 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2612497530#deck_aspiringspike 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-11-2712497537#deck_ltldude123 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_kanister 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-0312499773#deck_Mazzu93 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1012501259#deck_Kadoonyec 
 https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2022-12-1712502871#deck_kanister 
","Matt Stewart","",1,"Artifact","BRO",0,0.3,1
