"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",1119,70.3
"2","Mystical Dispute",1018,70.6
"3","Force of Vigor",907,70.6
"4","Flusterstorm",772,70.6
"5","Endurance",746,70.7
"6","Dress Down",684,70.3
"7","Relic of Progenitus",650,69.9
"8","Veil of Summer",638,70.3
"9","Pithing Needle",635,69.3
"10","Subtlety",555,70.7
"11","Unlicensed Hearse",546,71.2
"12","Chalice of the Void",537,70.3
"13","Magus of the Moon",521,70.8
"14","Blood Moon",461,70.5
"15","Spell Pierce",455,70.4
"16","Boseiju, Who Endures",440,70.8
"17","Sanctifier en-Vec",404,69.6
"18","Fury",399,70.2
"19","Path to Exile",362,69.8
"20","Alpine Moon",340,69.7
"21","Tourach, Dread Cantor",299,70.2
"22","Thoughtseize",293,70.3
"23","Soul-Guide Lantern",288,68.9
"24","Yorion, Sky Nomad",282,71
"25","Tormod's Crypt",277,69.8
"26","Jace, the Mind Sculptor",276,70.8
"27","March of Otherworldly Light",268,70.6
"28","Leyline of Sanctity",256,69.8
"29","Necromentia",247,71.2
"30","Lavinia, Azorius Renegade",235,70.4
"31","Lurrus of the Dream-Den",231,69
"32","Emrakul, the Promised End",224,70.4
"33","Leyline of the Void",221,70
"34","Teferi, Time Raveler",218,69.6
"35","Foundation Breaker",216,70.8
"36","Prismatic Ending",209,68.1
"37","Dovin's Veto",203,70.2
"38","Nature's Claim",202,69.3
"39","Wear // Tear",189,68.7
"40","Kolaghan's Command",188,70.1
"41","Rest in Peace",186,68.6
"42","Meddling Mage",174,70.9
"43","Abrade",173,71.1
"44","Dismember",172,70.5
"45","Force of Negation",169,68.9
"46","Aether Gust",168,69.2
"47","Outland Liberator",168,70.9
"48","Ensnaring Bridge",162,67.6
"49","Hidetsugu Consumes All",157,71
"50","Fatal Push",156,71.7
