"","CardNames","DeckCount","Winrate95Min"
"1","Alpine Moon",86,72.1
"2","Kolaghan's Command",64,71.8
"3","Nihil Spellbomb",71,71.8
"4","Engineered Explosives",155,71.8
"5","Terminate",63,71.7
"6","Dress Down",105,71.5
"7","Spell Pierce",108,71.4
"8","Relic of Progenitus",111,70.9
"9","Tourach, Dread Cantor",50,70.8
"10","Mystical Dispute",90,70.5
"11","Lurrus of the Dream-Den",149,70.5
"12","Boseiju, Who Endures",52,70
"13","Fatal Push",29,69.8
"14","Pyrite Spellbomb",38,69.7
"15","Cavern of Souls",27,69.4
"16","Force of Vigor",109,69
"17","Emrakul, the Promised End",24,68.9
"18","Endurance",77,68.7
"19","Wear // Tear",34,68.6
"20","Flusterstorm",24,68.3
"21","Shadowspear",6,68
"22","Pithing Needle",93,67.9
"23","Jace, the Mind Sculptor",29,67.8
"24","Khalni Garden",15,67.7
"25","Soul-Guide Lantern",54,67.3
"26","Blood Moon",38,67.1
"27","Thoughtseize",53,67
"28","Foundation Breaker",27,66.8
"29","Veil of Summer",59,66.8
"30","Path to Exile",56,66.6
"31","Yorion, Sky Nomad",33,66.4
"32","Collector Ouphe",4,66.3
"33","Subtlety",26,66.3
"34","Chalice of the Void",45,66.3
"35","Sanctifier en-Vec",86,66.3
"36","Dovin's Veto",18,66.2
"37","Leyline of Sanctity",40,66.2
"38","Meddling Mage",15,66
"39","Fury",30,66
"40","Force of Negation",32,65.8
"41","Bojuka Bog",15,65.2
"42","Dismember",18,65.1
"43","Damping Sphere",11,64.9
"44","Prismatic Ending",40,64.8
"45","Kozilek's Return",8,64.7
"46","Emrakul, the Aeons Torn",30,64.7
"47","Nature's Claim",12,64.6
"48","Stony Silence",5,64.5
"49","Prismari Command",9,64
"50","Aether Gust",20,64
