"","CardNames","DeckCount","WinrateAverage"
"1","Kroxa, Titan of Death's Hunger",1,100
"2","Ice-Fang Coatl",1,100
"3","Memory Deluge",1,100
"4","Shatterstorm",2,87.5
"5","Grim Lavamancer",2,87.5
"6","Collector Ouphe",4,85.2
"7","Duergar Hedge-Mage",2,84.6
"8","Kaya, Orzhov Usurper",2,84.6
"9","Entrancing Melody",3,83.3
"10","Obosh, the Preypiercer",3,82.4
"11","Stony Silence",5,81.8
"12","Chandra, Awakened Inferno",2,81.8
"13","Shadowspear",6,81.6
"14","Eladamri's Call",3,81.2
"15","Counterspell",3,81.2
"16","Otawara, Soaring City",5,79.5
"17","Cling to Dust",4,78.9
"18","Aven Mindcensor",2,78.6
"19","Khalni Garden",15,77.9
"20","Kor Firewalker",9,77.8
"21","Kaya's Guile",3,77.8
"22","Experimental Frenzy",1,77.8
"23","Pyroclasm",1,77.8
"24","Tamiyo's Safekeeping",1,77.8
"25","Fracture",1,77.8
"26","Sword of Truth and Justice",1,77.8
"27","Choke",1,77.8
"28","Eidolon of Rhetoric",1,77.8
"29","Setessan Petitioner",1,77.8
"30","Tocatli Honor Guard",1,77.8
"31","Oblivion Stone",1,77.8
"32","Elixir of Immortality",1,77.8
"33","Leyline of Vitality",1,77.8
"34","Mark of Asylum",1,77.8
"35","Kozilek's Return",8,77.6
"36","Blast Zone",4,77.3
"37","Gaddock Teeg",3,77.3
"38","Jegantha, the Wellspring",5,77.1
"39","Ragavan, Nimble Pilferer",2,76.9
"40","Emrakul, the Promised End",24,76.8
"41","Fulminator Mage",3,76.5
"42","Sunset Revelry",3,76.5
"43","Fatal Push",29,76.4
"44","Cavern of Souls",27,76.4
"45","Kolaghan's Command",64,76.2
"46","Terminate",63,76.2
"47","Ulamog, the Infinite Gyre",3,76
"48","Summary Dismissal",3,76
"49","Alpine Moon",86,75.9
"50","Nihil Spellbomb",71,75.9
