"","CardNames","DeckCount","WinrateAverage"
"1","Engineered Explosives",155,74.5
"2","Lurrus of the Dream-Den",149,73.3
"3","Relic of Progenitus",111,74.2
"4","Force of Vigor",109,72.3
"5","Spell Pierce",108,74.7
"6","Dress Down",105,75
"7","Pithing Needle",93,71.5
"8","Mystical Dispute",90,74.2
"9","Alpine Moon",86,75.9
"10","Sanctifier en-Vec",86,70.1
"11","Endurance",77,72.7
"12","Nihil Spellbomb",71,75.9
"13","Kolaghan's Command",64,76.2
"14","Terminate",63,76.2
"15","Veil of Summer",59,71.3
"16","Path to Exile",56,71.3
"17","Soul-Guide Lantern",54,72.1
"18","Thoughtseize",53,72
"19","Boseiju, Who Endures",52,74.9
"20","Tourach, Dread Cantor",50,75.9
"21","Chalice of the Void",45,71.6
"22","Prismatic Ending",40,70.4
"23","Leyline of Sanctity",40,71.9
"24","Pyrite Spellbomb",38,75.4
"25","Blood Moon",38,73
"26","Wear // Tear",34,74.7
"27","Yorion, Sky Nomad",33,72.4
"28","Force of Negation",32,72.2
"29","Fury",30,72.7
"30","Emrakul, the Aeons Torn",30,71.6
"31","Fatal Push",29,76.4
"32","Jace, the Mind Sculptor",29,74.7
"33","Cavern of Souls",27,76.4
"34","Rest in Peace",27,70.7
"35","Foundation Breaker",27,73.6
"36","Subtlety",26,73.3
"37","Torpor Orb",25,71.3
"38","Flusterstorm",24,75.4
"39","Emrakul, the Promised End",24,76.8
"40","Seal of Cleansing",22,68.3
"41","Lavinia, Azorius Renegade",21,68.9
"42","Magus of the Moon",20,70.1
"43","Aether Gust",20,72.5
"44","Dismember",18,73.9
"45","Dovin's Veto",18,74.8
"46","Cathar Commando",16,71.1
"47","Burrenton Forge-Tender",16,71.3
"48","Tormod's Crypt",16,69.9
"49","Meddling Mage",15,75.2
"50","Void Mirror",15,69
