"","CardNames","DeckCount","Winrate95Min"
"1","Misty Rainforest",256,72.9
"2","Scalding Tarn",233,72.4
"3","Steam Vents",262,72.4
"4","Otawara, Soaring City",192,72.3
"5","Counterspell",133,72.2
"6","Spirebluff Canal",135,72.2
"7","Breeding Pool",156,72.2
"8","Snow-Covered Island",127,72.1
"9","Flooded Strand",174,72
"10","Expressive Iteration",142,71.6
"11","Island",141,71.5
"12","Boseiju, Who Endures",170,71.5
"13","Brazen Borrower",71,71.4
"14","Archmage's Charm",93,71.4
"15","Murktide Regent",81,71.3
"16","Wooded Foothills",126,71.3
"17","Violent Outburst",79,71.2
"18","Force of Negation",86,71.2
"19","Spell Pierce",95,71.2
"20","Mishra's Bauble",114,71.2
"21","Hallowed Fountain",131,71.2
"22","Unholy Heat",125,71.2
"23","Fury",123,71.2
"24","Lightning Bolt",172,71.2
"25","Raugrin Triome",89,71.1
"26","Shardless Agent",78,71.1
"27","Ketria Triome",114,71.1
"28","Consider",80,71
"29","Prismatic Ending",98,71
"30","Teferi, Time Raveler",116,71
"31","Solitude",93,70.9
"32","Dead // Gone",53,70.8
"33","Fiery Islet",95,70.8
"34","Ragavan, Nimble Pilferer",131,70.8
"35","Stomping Ground",135,70.8
"36","Kaldra Compleat",25,70.7
"37","Snow-Covered Forest",80,70.7
"38","Polluted Delta",119,70.7
"39","Urborg, Tomb of Yawgmoth",32,70.5
"40","Memory Deluge",35,70.5
"41","Omnath, Locus of Creation",65,70.4
"42","Windswept Heath",107,70.4
"43","Teferi, Hero of Dominaria",25,70.3
"44","Plains",87,70.3
"45","Forest",136,70.3
"46","Grief",46,70.2
"47","Gemstone Caverns",43,70.1
"48","Sacred Foundry",109,70.1
"49","Temple Garden",69,69.9
"50","Ephemerate",54,69.8
