"","CardNames","DeckCount","WinrateAverage"
"1","Mystical Dispute",184,74.9
"2","Force of Vigor",174,73.9
"3","Endurance",160,74.1
"4","Engineered Explosives",155,73.3
"5","Relic of Progenitus",153,74.2
"6","Dress Down",100,74.7
"7","Magus of the Moon",97,74.9
"8","Veil of Summer",94,73.7
"9","Blood Moon",90,74.4
"10","Chalice of the Void",78,74
"11","Spell Pierce",78,74.5
"12","Fury",73,75
"13","Flusterstorm",72,75
"14","Subtlety",68,75.2
"15","Yorion, Sky Nomad",68,73.9
"16","Pithing Needle",62,72.4
"17","Boseiju, Who Endures",61,74
"18","Sanctifier en-Vec",61,73
"19","Jace, the Mind Sculptor",54,74.7
"20","Emrakul, the Promised End",52,73.2
"21","Leyline of Sanctity",51,74.4
"22","Path to Exile",50,72.6
"23","Force of Negation",49,76.6
"24","Soul-Guide Lantern",45,70.8
"25","Foundation Breaker",44,74.3
"26","Aether Gust",44,74.9
"27","Meddling Mage",41,73
"28","March of Otherworldly Light",40,72.6
"29","Alpine Moon",39,71.6
"30","Thoughtseize",38,74.9
"31","Teferi, Time Raveler",37,73.1
"32","Dovin's Veto",35,75.3
"33","Lavinia, Azorius Renegade",34,71.2
"34","Supreme Verdict",32,74.5
"35","Ensnaring Bridge",30,71
"36","Leyline of the Void",29,72.9
"37","Torpor Orb",28,73
"38","Tourach, Dread Cantor",28,72.6
"39","Prismatic Ending",25,71.7
"40","Rest in Peace",25,72.4
"41","Tormod's Crypt",23,74.2
"42","Chandra, Awakened Inferno",22,76.8
"43","Nature's Claim",22,73.8
"44","Liquimetal Coating",22,72.5
"45","Kolaghan's Command",21,70.5
"46","Walking Ballista",21,70.4
"47","Deflecting Palm",21,72.5
"48","Abrade",20,77.2
"49","Necromentia",20,74.5
"50","Cavern of Souls",19,71.6
