"","CardNames","DeckCount","WinrateAverage"
"1","Wandering Mind",1,87.5
"2","Empty the Warrens",2,82.4
"3","Spellstutter Sprite",2,80
"4","Radiant Fountain",12,79.3
"5","March of Reckless Joy",3,79.2
"6","Sakura-Tribe Elder",4,78.9
"7","Search for Tomorrow",4,78.9
"8","Wish",4,78.9
"9","Cinder Glade",4,78.9
"10","Sheltered Thicket",4,78.9
"11","Hanweir Battlements",2,78.9
"12","Valki, God of Lies",2,78.9
"13","Wurmcoil Engine",2,77.8
"14","Agadeem's Awakening",1,77.8
"15","Night's Whisper",1,77.8
"16","Undying Evil",1,77.8
"17","Charming Prince",1,77.8
"18","Extraction Specialist",1,77.8
"19","Judith, the Scourge Diva",1,77.8
"20","Pyre of Heroes",1,77.8
"21","Explore",19,77.6
"22","Brought Back",5,77.5
"23","Azusa, Lost but Seeking",15,77.4
"24","Amulet of Vigor",15,77.4
"25","Castle Garenbrig",15,77.4
"26","Gruul Turf",15,77.4
"27","Simic Growth Chamber",15,77.4
"28","Tolaria West",15,77.4
"29","Vesuva",15,77.4
"30","Summoner's Pact",16,77.3
"31","Turntimber Symbiosis",9,77.3
"32","Selesnya Sanctuary",14,77.1
"33","Boros Garrison",13,77
"34","Slayers' Stronghold",13,77
"35","Sunhome, Fortress of the Legion",13,77
"36","Dryad of the Ilysian Grove",23,76.7
"37","Primeval Titan",20,76.7
"38","Drown in the Loch",17,76.6
"39","Sanctum of Ugin",6,76.6
"40","Arboreal Grazer",18,76.5
"41","Engineered Explosives",4,76.5
"42","Golgari Rot Farm",2,76.5
"43","Death's Shadow",16,76.2
"44","Dress Down",29,76
"45","Valakut, the Molten Pinnacle",24,76
"46","March of Otherworldly Light",16,76
"47","Cultivator Colossus",14,76
"48","Thragtusk",6,76
"49","Warping Wail",6,76
"50","Oblivion Stone",6,76
