"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","robert seder",8,73,0.602739726027397,0.481401430076984,0.71547270554873,132,"Azorius Control","8","https://mtgmelee.com/Decklist/View/267764; https://mtgmelee.com/Decklist/View/268341; https://mtgmelee.com/Decklist/View/269135; https://mtgmelee.com/Decklist/View/270926; https://mtgmelee.com/Decklist/View/271560; https://mtgmelee.com/Decklist/View/277004; https://mtgmelee.com/Decklist/View/277292; https://mtgmelee.com/Decklist/View/278013"
"2","Zach Allen",6,47,0.680851063829787,0.52881874279594,0.809139492332492,96,"WURG Control; Omnath Control; Izzet Breach Value","3; 1; 2","https://mtgmelee.com/Decklist/View/251002; https://mtgmelee.com/Decklist/View/252241; https://mtgmelee.com/Decklist/View/254164; https://mtgmelee.com/Decklist/View/263960; https://mtgmelee.com/Decklist/View/271546; https://mtgmelee.com/Decklist/View/277596"
"3","Connor Mullaly",6,47,0.638297872340426,0.485197846101751,0.773285731701214,90,"Hammer Time; Underworld Breach Combo","2; 4","https://mtgmelee.com/Decklist/View/250722; https://mtgmelee.com/Decklist/View/251115; https://mtgmelee.com/Decklist/View/264948; https://mtgmelee.com/Decklist/View/271038; https://mtgmelee.com/Decklist/View/271579; https://mtgmelee.com/Decklist/View/274329"
"4","Daryl Ayers",4,41,0.682926829268293,0.519133613161076,0.819150603091716,84,"Amulet Titan; Creativity Combo","1; 3","https://mtgmelee.com/Decklist/View/267462; https://mtgmelee.com/Decklist/View/276810; https://mtgmelee.com/Decklist/View/275747; https://mtgmelee.com/Decklist/View/278496"
"5","Bill Comminos",6,45,0.555555555555556,0.399973496403679,0.703556076134142,75,"Yawgmoth; Footfalls; Thopter Urza; Mono Red Saga","3; 1; 1; 1","https://mtgmelee.com/Decklist/View/250651; https://mtgmelee.com/Decklist/View/251112; https://mtgmelee.com/Decklist/View/251919; https://mtgmelee.com/Decklist/View/264172; https://mtgmelee.com/Decklist/View/270976; https://mtgmelee.com/Decklist/View/271558"
"6","Junyuan Zheng",6,55,0.454545454545455,0.319700679995166,0.594455108842661,75,"Hammer Time","6","https://mtgmelee.com/Decklist/View/267438; https://mtgmelee.com/Decklist/View/268100; https://mtgmelee.com/Decklist/View/268877; https://mtgmelee.com/Decklist/View/276647; https://mtgmelee.com/Decklist/View/277496; https://mtgmelee.com/Decklist/View/278398"
"7","Liam Carlton",5,46,0.543478260869565,0.390133711929071,0.691020551094643,75,"Yawgmoth","5","https://mtgmelee.com/Decklist/View/268289; https://mtgmelee.com/Decklist/View/270927; https://mtgmelee.com/Decklist/View/277044; https://mtgmelee.com/Decklist/View/277453; https://mtgmelee.com/Decklist/View/278327"
"8","Max Hersch",5,36,0.666666666666667,0.490297453348109,0.814438190174079,72,"Yawgmoth; Hammer Time","2; 3","https://mtgmelee.com/Decklist/View/250403; https://mtgmelee.com/Decklist/View/250976; https://mtgmelee.com/Decklist/View/251627; https://mtgmelee.com/Decklist/View/270852; https://mtgmelee.com/Decklist/View/273041"
"9","Alex Hon",5,40,0.6,0.433267052193297,0.751350013412256,72,"Footfalls","5","https://mtgmelee.com/Decklist/View/271014; https://mtgmelee.com/Decklist/View/271569; https://mtgmelee.com/Decklist/View/277227; https://mtgmelee.com/Decklist/View/278000; https://mtgmelee.com/Decklist/View/278598"
"10","Simon Nielsen",2,26,0.884615384615385,0.698459599892432,0.975541924682038,69,"Hammer Time","2","https://mtgmelee.com/Decklist/View/264348; https://mtgmelee.com/Decklist/View/268502"
"11","Casey Ryback",4,31,0.709677419354839,0.519639341771091,0.857771470902475,66,"Living End","4","https://mtgmelee.com/Decklist/View/251091; https://mtgmelee.com/Decklist/View/252365; https://mtgmelee.com/Decklist/View/264890; https://mtgmelee.com/Decklist/View/271557"
"12","Sarah Shearing",7,59,0.372881355932203,0.250439569261304,0.508545245125078,66,"Underworld Breach Combo","7","https://mtgmelee.com/Decklist/View/250521; https://mtgmelee.com/Decklist/View/252184; https://mtgmelee.com/Decklist/View/263920; https://mtgmelee.com/Decklist/View/267768; https://mtgmelee.com/Decklist/View/268895; https://mtgmelee.com/Decklist/View/270808; https://mtgmelee.com/Decklist/View/271433"
"13","Kevin Andrade Jr.",6,54,0.407407407407407,0.275679937037756,0.549655875641025,66,"Rakdos Scam","6","https://mtgmelee.com/Decklist/View/254175; https://mtgmelee.com/Decklist/View/267596; https://mtgmelee.com/Decklist/View/268662; https://mtgmelee.com/Decklist/View/269122; https://mtgmelee.com/Decklist/View/277930; https://mtgmelee.com/Decklist/View/278623"
"14","Travis Williams",3,32,0.6875,0.49992241836783,0.838815275911799,66,"Hammer Time","3","https://mtgmelee.com/Decklist/View/264641; https://mtgmelee.com/Decklist/View/267508; https://mtgmelee.com/Decklist/View/271470"
