"","CardNames","DeckCount","WinrateAverage"
"1","Paradise Mantle",2,83.3
"2","Lair of the Hydra",1,83.3
"3","Phyrexian Fleshgorger",1,80
"4","Tainted Indulgence",1,80
"5","Burst Lightning",6,79.3
"6","Transmogrify",14,78.7
"7","Mana Leak",11,77.8
"8","Mistcaller",4,77.8
"9","Shadow of Doubt",1,77.8
"10","Twiddle",1,77.8
"11","Dream's Grip",1,77.8
"12","Void Snare",1,77.8
"13","Lotus Field",1,77.8
"14","Grim Tutor",1,77.8
"15","Soul of Windgrace",1,77.8
"16","Liliana of the Veil",4,77.4
"17","Prismari Command",27,76.8
"18","Scavenging Ooze",2,76.5
"19","Gilded Goose",2,76.5
"20","Indomitable Creativity",27,75.3
"21","Death's Shadow",5,75
"22","Jace, the Mind Sculptor",5,75
"23","Gemstone Mine",3,75
"24","Nicol Bolas, Planeswalker",3,75
"25","Omniscience",3,75
"26","Wavesifter",3,75
"27","Glimpse of Tomorrow",3,75
"28","One with the Multiverse",3,75
"29","Hall of Heliod's Generosity",2,75
"30","Oust",1,75
"31","Frantic Inventory",1,75
"32","Condemn",1,75
"33","Snapcaster Mage",1,75
"34","Chatterstorm",1,75
"35","Galvanic Relay",1,75
"36","Abundant Harvest",1,75
"37","Goblin Anarchomancer",1,75
"38","Urza, Lord High Artificer",1,75
"39","Razortide Bridge",1,75
"40","Thopter Foundry",1,75
"41","Talisman of Progress",1,75
"42","Darksteel Citadel",1,75
"43","Sword of the Meek",1,75
"44","Ingenious Smith",1,75
"45","Izzet Charm",1,75
"46","Mogg Fanatic",1,75
"47","Pashalik Mons",1,75
"48","Rundvelt Hordemaster",1,75
"49","Auriok Champion",1,75
"50","Arbor Elf",1,75
