"","Artist","NoCopies","Winrate"
"1","Rob Alexander",3060,0.699
"2","Christopher Rush",1313,0.697
"3","Anastasia Ovchinnikova",1235,0.69
"4","Mark Poole",996,0.688
"5","Simon Dominic",840,0.69
"6","Chippy",766,0.688
"7","Vance Kovacs",707,0.703
"8","Martina Fackova",660,0.689
"9","Adam Paquette",639,0.681
"10","Philip Straub",638,0.698
"11","Shelly Wan",589,0.692
"12","Eric Deschamps",561,0.696
"13","Kari Christensen",503,0.692
"14","Mila Pesic",501,0.688
"15","Ryan Pancoast",490,0.695
"16","Titus Lunter",473,0.692
"17","Zezhou Chen",469,0.685
"18","Raoul Vitale",449,0.691
"19","Izzy",445,0.692
"20","Ron Spears",445,0.687
"21","Jason Chan",399,0.695
"22","Randy Vargas",395,0.691
"23","Alayna Danner",393,0.694
"24","Chase Stone",382,0.707
"25","Tom Wänerstrand",367,0.7
"26","Chris Ostrowski",351,0.701
"27","Aleksi Briclot",343,0.696
"28","Mark Zug",342,0.694
"29","Raymond Swanland",327,0.706
"30","Mike Bierek",325,0.699
"31","Erica Yang",323,0.701
"32","John Stanko",322,0.709
"33","Lucas Graciano",306,0.677
"34","Douglas Shuler",302,0.702
"35","Iain McCaig",287,0.691
"36","Dmitry Burmak",285,0.702
"37","Chris Rallis",284,0.705
"38","John Avon",277,0.689
"39","Anson Maddocks",273,0.69
"40","Cristi Balanescu",266,0.704
"41","Jonas De Ro",265,0.683
"42","Yeong-Hao Han",258,0.685
"43","Paul Scott Canavan",257,0.709
"44","Jesper Myrfors",257,0.69
"45","Cyril Van Der Haegen",250,0.686
"46","Anthony S. Waters",239,0.687
"47","Jason Rainville",231,0.678
"48","David Martin",230,0.722
"49","Lie Setiawan",230,0.709
"50","Joseph Meehan",228,0.724
"51","Terese Nielsen",226,0.692
"52","Howard Lyon",220,0.7
"53","Cliff Childs",219,0.702
"54","Steve Argyle",217,0.691
"55","Lake Hurwitz",217,0.704
"56","Cynthia Sheppard",213,0.697
"57","Michael C. Hayes",212,0.695
"58","Chris Rahn",207,0.689
"59","Vincent Proce",205,0.698
"60","Mark Tedin",202,0.688
"61","Richard Whitters",200,0.702
"62","Adam Rex",197,0.713
"63","Johannes Voss",196,0.72
"64","Pete Venters",196,0.682
"65","Dave Kendall",189,0.692
"66","Sam Burley",184,0.717
"67","Kieran Yanner",182,0.688
"68","Jung Park",181,0.712
"69","Seb McKinnon",181,0.696
"70","Nicholas Gregory",176,0.705
"71","Yongjae Choi",176,0.683
"72","Svetlin Velinov",175,0.698
"73","Franz Vohwinkel",175,0.674
"74","Evan Shipard",171,0.692
"75","Greg Staples",168,0.698
"76","Richard Wright",167,0.68
"77","Heather Hudson",164,0.686
"78","Steven Belledin",161,0.691
"79","Dan Frazier",156,0.697
"80","Amy Weber",154,0.707
"81","Dan Scott",152,0.701
"82","Jean-Sébastien Rossbach",151,0.681
"83","Mark Winters",148,0.694
"84","Warren Mahy",145,0.669
"85","Todd Lockwood",139,0.692
"86","Nils Hamm",138,0.691
"87","Tomas Giorello",136,0.698
"88","John Matson",132,0.699
"89","Daarken",132,0.732
"90","Jason A. Engle",131,0.697
"91","Andrew Mar",122,0.74
"92","James Paick",122,0.682
"93","Kev Walker",122,0.672
"94","Greg Hildebrandt",119,0.717
"95","Martina Pilcerova",118,0.696
"96","Sidharth Chaturvedi",118,0.709
"97","Hideaki Takamura",115,0.691
"98","Michael Komarck",114,0.68
"99","Deruchenko Alexander",112,0.757
"100","Alexander Forssberg",112,0.757
"101","Jason Felix",111,0.687
"102","Jesper Ejsing",110,0.7
"103","DiTerlizzi",107,0.706
"104","Scott Murphy",102,0.693
"105","Craig J Spearing",100,0.718
"106","Noah Bradley",93,0.691
"107","Maria Zolotukhina",89,0.709
"108","Tomasz Jedruszek",89,0.735
"109","Igor Kieryluk",87,0.705
"110","Chris Cold",84,0.693
"111","Dimitar Marinski",80,0.691
"112","Marc Simonetti",79,0.682
"113","Zoltan Boros",79,0.65
"114","Christine Choi",77,0.706
"115","Fred Fields",75,0.709
"116","Daniel Ljunggren",75,0.68
"117","Matt Stewart",75,0.711
"118","Heonhwa Choe",75,0.651
"119","Michael Sutfin",74,0.631
"120","Bastien L. Deharme",73,0.689
"121","Campbell White",72,0.673
"122","Bryan Sola",69,0.674
"123","Darrell Riche",66,0.694
"124","Lars Grant-West",63,0.723
"125","Dave Dorman",62,0.676
"126","Jim Nelson",61,0.684
"127","Drew Tucker",60,0.686
"128","Johan Grenier",57,0.688
"129","Wayne Reynolds",57,0.697
"130","Ilse Gort",55,0.703
"131","Wisnu Tan",55,0.67
"132","James Ryman",53,0.676
"133","Milivoj Ćeran",50,0.747
"134","Scott M. Fischer",49,0.653
"135","Volkan Baǵa",47,0.685
"136","Magali Villeneuve",46,0.687
"137","Justin Murray",44,0.699
"138","Jeff Miracola",42,0.673
"139","Austin Hsu",42,0.689
"140","Melissa A. Benson",40,0.714
"141","Donato Giancola",38,0.735
"142","Gabor Szikszai",37,0.727
