"","CardNames","DeckCount","WinrateAverage"
"1","Colossal Skyturtle",1,90
"2","Silvergill Adept",3,80.8
"3","Jaya, Fiery Negotiator",3,80
"4","Soulless Jailer",1,80
"5","Kura, the Boundless Sky",2,78.9
"6","Portable Hole",2,77.8
"7","Strike It Rich",1,77.8
"8","Flame Slash",1,77.8
"9","Turn the Earth",13,77.3
"10","Unholy Heat",4,77.1
"11","Blossoming Calm",8,76.5
"12","Metallic Rebuke",2,76.5
"13","Obosh, the Preypiercer",2,76.5
"14","Lantern of the Lost",2,76.5
"15","Iona, Shield of Emeria",8,76.3
"16","Nature's Claim",26,76.1
"17","Weather the Storm",4,75.8
"18","Kolaghan's Command",4,75.8
"19","Aether Gust",27,75.6
"20","Test of Talents",3,75
"21","Empty the Warrens",2,75
"22","Suspend",2,75
"23","Phyrexian Metamorph",2,75
"24","Boggart Harbinger",1,75
"25","Goblin Trashmaster",1,75
"26","Run Afoul",1,75
"27","The Reality Chip",1,75
"28","Counterspell",1,75
"29","Brittle Effigy",1,75
"30","Skysovereign, Consul Flagship",1,75
"31","Sorcerous Spyglass",1,75
"32","Cathar Commando",1,75
"33","Serra Paragon",1,75
"34","Collective Brutality",9,74.7
"35","Vapor Snag",4,74.3
"36","Ingot Chewer",4,74.2
"37","Dragon's Claw",7,74.1
"38","Lightning Axe",3,73.9
"39","Terminate",5,73.8
"40","Kira, Great Glass-Spinner",2,73.7
"41","The Wandering Emperor",2,73.3
"42","Murderous Cut",6,73.1
"43","Winds of Rebuke",3,73.1
"44","Gaea's Blessing",3,73.1
"45","Emrakul, the Aeons Torn",29,72.8
"46","Harbinger of the Tides",9,72.7
"47","Thragtusk",1,72.7
"48","Celestial Purge",6,72.5
"49","Self-Inflicted Wound",5,72.5
"50","Spreading Seas",17,72.3
