"","Artist","NoCopies","Winrate"
"1","Rob Alexander",5234,0.727
"2","Christopher Rush",2207,0.724
"3","Anastasia Ovchinnikova",2068,0.717
"4","Mark Poole",1646,0.715
"5","Simon Dominic",1329,0.715
"6","Chippy",1225,0.713
"7","Vance Kovacs",1145,0.725
"8","Philip Straub",1135,0.729
"9","Martina Fackova",1048,0.716
"10","Eric Deschamps",1008,0.724
"11","Shelly Wan",1006,0.72
"12","Adam Paquette",971,0.705
"13","Izzy",811,0.726
"14","Titus Lunter",807,0.721
"15","Ryan Pancoast",790,0.727
"16","Kari Christensen",776,0.713
"17","Mila Pesic",752,0.712
"18","Raoul Vitale",733,0.717
"19","Chase Stone",730,0.738
"20","Ron Spears",726,0.715
"21","Zezhou Chen",715,0.708
"22","Alayna Danner",678,0.72
"23","Jason Chan",649,0.72
"24","John Stanko",640,0.739
"25","Chris Ostrowski",619,0.732
"26","Randy Vargas",607,0.714
"27","Ekaterina Burmak",604,0.717
"28","Tom Wänerstrand",601,0.722
"29","Raymond Swanland",599,0.734
"30","Chris Rallis",573,0.738
"31","Mike Bierek",569,0.731
"32","Mark Zug",563,0.727
"33","Erica Yang",556,0.726
"34","Aleksi Briclot",552,0.723
"35","Iain McCaig",527,0.723
"36","Douglas Shuler",518,0.73
"37","Dmitry Burmak",509,0.734
"38","John Avon",475,0.724
"39","Cyril Van Der Haegen",466,0.724
"40","Lucas Graciano",456,0.701
"41","Yeong-Hao Han",455,0.723
"42","Cristi Balanescu",448,0.728
"43","Anson Maddocks",444,0.721
"44","Jesper Myrfors",441,0.718
"45","Anthony S. Waters",437,0.721
"46","Paul Scott Canavan",435,0.733
"47","Jonas De Ro",431,0.714
"48","Lake Hurwitz",431,0.74
"49","Joseph Meehan",413,0.753
"50","Howard Lyon",409,0.731
"51","Evan Shipard",396,0.74
"52","Chris Rahn",389,0.719
"53","Steve Argyle",389,0.72
"54","David Martin",387,0.745
"55","Lie Setiawan",385,0.731
"56","Chris Seaman",379,0.707
"57","Terese Nielsen",378,0.723
"58","Michael C. Hayes",362,0.721
"59","Cliff Childs",359,0.73
"60","Vincent Proce",355,0.724
"61","Cynthia Sheppard",350,0.716
"62","Johannes Voss",347,0.747
"63","Richard Whitters",344,0.731
"64","Pete Venters",343,0.713
"65","Seb McKinnon",330,0.726
"66","Sam Burley",329,0.747
"67","Jung Park",329,0.738
"68","Nicholas Gregory",323,0.737
"69","Adam Rex",323,0.737
"70","Dave Kendall",320,0.714
"71","Jason Rainville",318,0.698
"72","Mark Tedin",317,0.712
"73","Kieran Yanner",310,0.722
"74","Greg Staples",308,0.733
"75","Amy Weber",297,0.735
"76","Richard Wright",279,0.706
"77","Franz Vohwinkel",279,0.701
"78","Svetlin Velinov",277,0.718
"79","Steven Belledin",265,0.714
"80","Jean-Sébastien Rossbach",257,0.719
"81","Dan Scott",255,0.726
"82","Dan Frazier",252,0.72
"83","Warren Mahy",245,0.711
"84","Nils Hamm",245,0.725
"85","Todd Lockwood",243,0.72
"86","Yongjae Choi",240,0.7
"87","Andrew Mar",235,0.769
"88","Jason A. Engle",233,0.729
"89","Alexander Forssberg",232,0.782
"90","Daarken",231,0.755
"91","Deruchenko Alexander",228,0.782
"92","Tomas Giorello",225,0.723
"93","Heather Hudson",222,0.701
"94","Martina Pilcerova",215,0.728
"95","James Paick",206,0.709
