"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","Daryl Ayers",3,27,0.703703703703704,0.498186333629999,0.862473446059421,57,"Creativity Combo","3","https://mtgmelee.com/Decklist/View/276810; https://mtgmelee.com/Decklist/View/275747; https://mtgmelee.com/Decklist/View/278496"
"2","Mark Stanton",2,22,0.818181818181818,0.597154216922129,0.948132700687563,54,"Izzet Murktide","2","https://mtgmelee.com/Decklist/View/277123; https://mtgmelee.com/Decklist/View/277514"
"3","Cody Childers",4,34,0.529411764705882,0.351292837051412,0.702213333581804,54,"Hammer Time","4","https://mtgmelee.com/Decklist/View/277116; https://mtgmelee.com/Decklist/View/276754; https://mtgmelee.com/Decklist/View/277666; https://mtgmelee.com/Decklist/View/278479"
"4","Daniel Buchanan",3,26,0.653846153846154,0.44332807395761,0.827855861994334,51,"Living End","3","https://mtgmelee.com/Decklist/View/277121; https://mtgmelee.com/Decklist/View/277281; https://mtgmelee.com/Decklist/View/278049"
"5","Drew Anderson",2,20,0.85,0.621073173454686,0.967929062814536,51,"Merfolk","2","https://mtgmelee.com/Decklist/View/277262; https://mtgmelee.com/Decklist/View/277590"
"6","Jeffrey Hicks",2,21,0.761904761904762,0.528340172345379,0.917824124406977,48,"Amulet Titan","2","https://mtgmelee.com/Decklist/View/274302; https://mtgmelee.com/Decklist/View/277422"
"7","TJ Rataiczak",2,20,0.75,0.508954128292042,0.913428530898565,45,"Jeskai Control; Izzet Murktide","1; 1","https://mtgmelee.com/Decklist/View/274177; https://mtgmelee.com/Decklist/View/277668"
"8","heyward charles",2,19,0.789473684210526,0.544346918108494,0.93947546229071,45,"Elementals","2","https://mtgmelee.com/Decklist/View/277143; https://mtgmelee.com/Decklist/View/278079"
"9","Manadadnate",2,20,0.75,0.508954128292042,0.913428530898565,45,"Elementals","2","https://mtgmelee.com/Decklist/View/277204; https://mtgmelee.com/Decklist/View/277714"
"10","James Manges",3,29,0.482758620689655,0.294485582951841,0.674685003638544,42,"Izzet Murktide","3","https://mtgmelee.com/Decklist/View/273913; https://mtgmelee.com/Decklist/View/277672; https://mtgmelee.com/Decklist/View/278321"
"11","Camron Neighbours",3,26,0.538461538461538,0.333708218475292,0.734128782577049,42,"Hammer Time; Footfalls","2; 1","https://mtgmelee.com/Decklist/View/277141; https://mtgmelee.com/Decklist/View/277979; https://mtgmelee.com/Decklist/View/278592"
"12","Stephen O’Neal",2,17,0.823529411764706,0.565682127155716,0.962014931929374,42,"Amulet Titan","2","https://mtgmelee.com/Decklist/View/277126; https://mtgmelee.com/Decklist/View/277912"
