"","CardNames","DeckCount","Winrate95Min"
"1","Thornwood Falls",192,62.8
"2","Faerie Seer",610,62.5
"3","Spellstutter Sprite",618,62.4
"4","Ninja of the Deep Hours",617,62.4
"5","Swiftwater Cliffs",77,62.3
"6","Compulsive Research",133,62.3
"7","Ghostly Flicker",228,62.3
"8","Moment's Peace",210,62.3
"9","Impulse",207,62.3
"10","Mystical Teachings",212,62.2
"11","Abrade",351,62.2
"12","Augur of Bolas",646,62.2
"13","Counterspell",814,62.2
"14","Thriving Isle",226,62.1
"15","Crop Rotation",215,62.1
"16","Urza's Mine",215,62.1
"17","Urza's Power Plant",215,62.1
"18","Urza's Tower",215,62.1
"19","Faithless Looting",278,62.1
"20","Mnemonic Wall",240,61.9
"21","Cave of Temptation",280,61.9
"22","Brainstorm",657,61.9
"23","Ash Barrens",970,61.9
"24","Terramorphic Expanse",146,61.8
"25","Unwind",166,61.8
"26","Agony Warp",189,61.8
"27","Island",544,61.8
"28","Preordain",755,61.8
"29","Wind-Scarred Crag",111,61.7
"30","Snow-Covered Island",602,61.7
"31","Pyroblast",74,61.6
"32","Ice Tunnel",395,61.6
"33","Gurmag Angler",467,61.6
"34","Weather the Storm",175,61.5
"35","Snuff Out",487,61.5
"36","Rolling Thunder",110,61.4
"37","Boros Garrison",137,61.4
"38","Ponder",257,61.4
"39","Evolving Wilds",508,61.4
"40","Cast Down",665,61.4
"41","Behold the Multiverse",195,61.3
"42","Ephemerate",263,61.3
"43","Pulse of Murasa",284,61.3
"44","Dispel",840,61.3
"45","Seeker of the Way",111,61.2
"46","Echoing Decay",452,61.2
"47","Prophetic Prism",642,61.2
"48","Dinrova Horror",71,61.1
"49","Mulldrifter",351,61.1
"50","Bonder's Ornament",430,61.1
