"","CardNames","DeckCount","WinrateAverage"
"1","Ash Barrens",970,63.1
"2","Dispel",840,62.5
"3","Counterspell",814,63.5
"4","Preordain",755,63.1
"5","Cast Down",665,62.9
"6","Brainstorm",657,63.3
"7","Lightning Bolt",650,62.3
"8","Augur of Bolas",646,63.6
"9","Prophetic Prism",642,62.7
"10","Spellstutter Sprite",618,63.9
"11","Ninja of the Deep Hours",617,63.9
"12","Faerie Seer",610,63.9
"13","Chromatic Star",606,62.2
"14","Snow-Covered Island",602,63.2
"15","Swamp",601,62.2
"16","Thorn of the Black Rose",558,62.4
"17","Island",544,63.4
"18","Evolving Wilds",508,63
"19","Mountain",504,61.7
"20","Snuff Out",487,63.2
"21","Forest",486,61.6
"22","Galvanic Blast",482,61.1
"23","Great Furnace",470,61.5
"24","Gurmag Angler",467,63.3
"25","Echoing Decay",452,63
"26","Bonder's Ornament",430,62.9
"27","Thoughtcast",415,61.2
"28","Seat of the Synod",415,61.2
"29","Darksteel Citadel",408,61.7
"30","Myr Enforcer",404,61.7
"31","Atog",398,61.7
"32","Ice Tunnel",395,63.5
"33","Fling",392,61.6
"34","Silverbluff Bridge",373,60.9
"35","Mulldrifter",351,63.1
"36","Abrade",351,64.1
"37","Ichor Wellspring",351,62.1
"38","Plains",333,62
"39","Witching Well",319,61.9
"40","Bojuka Bog",304,62.6
"41","Snow-Covered Mountain",292,62.4
"42","Night's Whisper",287,62.4
"43","Mistvault Bridge",285,62.3
"44","Pulse of Murasa",284,63.5
"45","Cave of Temptation",280,64.1
"46","Faithless Looting",278,64.3
"47","Quirion Ranger",277,61.5
"48","Chainer's Edict",274,60.8
"49","Suffocating Fumes",273,62.9
"50","Ephemerate",263,63.6
