"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","Mogged",19,"Boros Bully / Flashback; Unknown; Atog   Affinity; Dimir Faeries; Izzet Faeries; Mono   Blue","7; 1; 3; 5; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-07#mogged_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-14#mogged_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-15#mogged_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-21#mogged_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-22#mogged_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-11#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-30#mogged_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-20#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-11#mogged_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-19#mogged_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-02#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-08#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-15#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-29#mogged_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-30#mogged_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-05#mogged_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-13#mogged_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-26#mogged_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-11#mogged_nd_place"
"2","Beicodegeia",18,"Dimir Faeries; Boros Bully / Flashback","17; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-03#beicodegeia_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-04#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-21#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-26#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-17#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-25#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-01#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-08#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-05#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-11#beicodegeia_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-03#beicodegeia_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-10#beicodegeia_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-30#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-06#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-19#beicodegeia_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-26#beicodegeia_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-08#beicodegeia_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-17#beicodegeia_st_place"
"3","Hamuda",16,"Atog   Affinity; Rakdos Goblins","13; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-24#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-12#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-02#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-09#hamuda_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-06#hamuda_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-13#hamuda_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-27#hamuda_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-04#hamuda_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-18#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-26#hamuda_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-12#hamuda_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-26#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-10#hamuda_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-17#hamuda_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-24#hamuda_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-25#hamuda_th_place"
"4","kasa",13,"Ephemerate   Tron; Dimir Faeries; Unknown","7; 5; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-04#kasa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-18#kasa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-24#kasa_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-28#kasa_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-04#kasa_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-05#kasa_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-25#kasa_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-02#kasa_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-07#kasa_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-12#kasa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-01#kasa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-16#kasa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-06#kasa_th_place"
"5","cicciogire",12,"Dimir Faeries; Izzet Faeries; Jund Ramp; Gruul Ramp","5; 4; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-04#cicciogire_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-31#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-08#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-03-29#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-05#cicciogire_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-18#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-25#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-02#cicciogire_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-25#cicciogire_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-22#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-23#cicciogire_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-24#cicciogire_th_place"
"6","SanPop",11,"Ephemerate   Tron; Boros Bully / Flashback; Walls   Cascade; Atog   Affinity; Dimir Control; Unknown; Bogles","4; 1; 1; 2; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-10#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-31#sanpop_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-07#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-03-29#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-04-11#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-16#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-07#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-14#sanpop_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-20#sanpop_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-26#sanpop_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-12#sanpop_st_place"
"7","Mikhathara1994",11,"Atog   Affinity; Izzet Faeries; Unknown","1; 4; 6","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-17#mikhathara_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-08#mikhathara_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-21#mikhathara_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-28#mikhathara_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-03-07#mikhathara_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-18#mikhathara_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-19#mikhathara_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-01#mikhathara_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-29#mikhathara_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-05#mikhathara_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-06#mikhathara_rd_place"
"8","Brivenix",11,"Mono   Blue; Dimir Control; Izzet Faeries; Dimir Faeries; Jeskai Ephemerate","1; 3; 3; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-08#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-02-15#brivenix_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-03-28#brivenix_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-30#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-31#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-04#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-02#brivenix_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-12#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-13#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-26#brivenix_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-17#brivenix_nd_place"
"9","LuffyDoChapeuDePalha",10,"Atog   Affinity","10","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-05-17#luffydochapeudepalha_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-07#luffydochapeudepalha_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-06-27#luffydochapeudepalha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-30#luffydochapeudepalha_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-05#luffydochapeudepalha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-09-19#luffydochapeudepalha_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-03#luffydochapeudepalha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-18#luffydochapeudepalha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-24#luffydochapeudepalha_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-25#luffydochapeudepalha_th_place"
"10","PauloCabral_Br",9,"Mono   Blue; Mono   White   Heroic","6; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-03#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-01-18#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-07-25#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-02#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-22#paulocabral_br_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-23#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-08-29#paulocabral_br_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-10#paulocabral_br_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-challenge-2021-10-25#paulocabral_br_nd_place"
