"","CardNames","DeckCount","Winrate95Min"
"1","Stonehorn Dignitary",207,62.2
"2","Dispel",842,62
"3","Exclude",41,61.9
"4","Chainer's Edict",425,61.9
"5","Suffocating Fumes",397,61.9
"6","Cast Down",327,61.8
"7","Gorilla Shaman",511,61.8
"8","Pyroblast",904,61.8
"9","Rite of Consumption",2,61.7
"10","Coral Net",22,61.6
"11","Shenanigans",229,61.6
"12","Stormbound Geist",476,61.6
"13","Blue Elemental Blast",714,61.6
"14","Hydroblast",947,61.6
"15","Duress",819,61.4
"16","Moment's Peace",150,61.3
"17","Okiba-Gang Shinobi",234,61.3
"18","Weather the Storm",531,61.3
"19","Relic of Progenitus",623,61.3
"20","Echoing Truth",731,61.3
"21","Inside Out",38,61.2
"22","Lone Missionary",115,61.2
"23","Dinrova Horror",85,61
"24","Pulse of Murasa",94,61
"25","Negate",262,61
"26","Fiery Cannonade",693,61
"27","Ancient Grudge",580,60.9
"28","Red Elemental Blast",607,60.8
"29","Reaping the Graves",499,60.7
"30","Curfew",98,60.6
"31","Orochi Leafcaller",37,60.3
"32","Scattershot",38,60.3
"33","Cleansing Wildfire",95,60.3
"34","Introduction to Prophecy",217,60.2
"35","Unexpected Fangs",280,60.2
"36","Gut Shot",372,60.2
"37","Freed from the Real",41,60.1
"38","Swirling Sandstorm",139,60.1
"39","Flaring Pain",386,60.1
"40","Bonder's Ornament",76,59.9
"41","Pest Summoning",164,59.8
"42","Krark-Clan Shaman",438,59.8
"43","Galvanic Alchemist",37,59.7
"44","Environmental Sciences",119,59.7
"45","Nihil Spellbomb",137,59.7
"46","Drift of Phantasms",41,59.6
"47","Introduction to Annihilation",153,59.5
"48","Electrickery",297,59.5
"49","Annul",65,59.1
"50","Abrade",72,59.1
