"","Artist","NoCopies","Winrate"
"1","Christopher Rush",12894,0.629
"2","John Avon",10945,0.629
"3","Mark Poole",9391,0.643
"4","Anson Maddocks",8444,0.641
"5","Greg Staples",7521,0.625
"6","Kaja Foglio",6918,0.637
"7","Richard Thomas",5440,0.635
"8","Jesper Myrfors",5389,0.626
"9","Rob Alexander",5240,0.629
"10","Douglas Shuler",5216,0.622
"11","Jonas De Ro",4925,0.643
"12","Dan Scott",4818,0.644
"13","Rebecca Guay",4649,0.645
"14","Svetlin Velinov",4340,0.639
"15","Steven Belledin",4001,0.635
"16","Vance Kovacs",3877,0.637
"17","Alex Horley-Orlandelli",3809,0.621
"18","Bastien L. Deharme",3786,0.641
"19","Slawomir Maniak",3387,0.641
"20","Greg Hildebrandt",3126,0.622
"21","Lawrence Snelly",3109,0.628
"22","Mark Tedin",3008,0.636
"23","Marc Simonetti",2916,0.622
"24","Dan Frazier",2770,0.628
"25","Colin Boyer",2577,0.645
"26","Lindsey Look",2285,0.644
"27","Thomas M. Baxa",2094,0.624
"28","Ben Wootten",2023,0.633
"29","Mike Ploog",2002,0.637
"30","Matt Stewart",1977,0.64
"31","David Gaillet",1789,0.625
"32","Magali Villeneuve",1762,0.637
"33","Randy Gallegos",1762,0.634
"34","Eric Fortune",1734,0.642
"35","Kev Walker",1733,0.612
"36","Jim Nelson",1720,0.631
"37","Mathias Kollros",1715,0.623
"38","Ben Thompson",1672,0.629
"39","Christopher Moeller",1671,0.631
"40","Joseph Meehan",1667,0.623
"41","Sandra Everingham",1642,0.614
"42","Howard Lyon",1592,0.626
"43","Ron Spencer",1564,0.626
"44","Sidharth Chaturvedi",1545,0.636
"45","Paolo Parente",1538,0.627
"46","Raymond Swanland",1532,0.634
"47","Ron Spears",1500,0.646
"48","Matt Thompson",1465,0.637
"49","Eytan Zana",1448,0.657
"50","Dany Orizio",1440,0.621
"51","Raoul Vitale",1439,0.628
"52","Anthony S. Waters",1403,0.639
"53","Johannes Voss",1391,0.635
"54","Jesper Ejsing",1383,0.618
"55","YW Tang",1356,0.639
"56","Nils Hamm",1351,0.626
"57","Drew Tucker",1263,0.619
"58","Pete Venters",1255,0.604
"59","Irina Nordsol",1221,0.638
"60","Glen Angus",1194,0.625
"61","Tom Kyffin",1192,0.616
"62","Jean-Sébastien Rossbach",1187,0.637
"63","Gabor Szikszai",1176,0.641
"64","Filip Burburan",1124,0.633
"65","David Martin",1119,0.631
"66","Anastasia Ovchinnikova",1088,0.638
"67","Craig J Spearing",1083,0.629
"68","Lius Lasahido",1066,0.616
"69","Terese Nielsen",1057,0.624
"70","Daarken",1053,0.621
"71","Dave Kendall",1042,0.645
"72","Jeremy Jarvis",1039,0.631
"73","Tom Wänerstrand",1021,0.627
"74","Bryan Talbot",977,0.659
"75","Eric Peterson",943,0.64
"76","Michael Sutfin",904,0.633
"77","James Paick",890,0.616
"78","Aaron Miller",889,0.633
"79","Paul Scott Canavan",883,0.628
"80","Adam Paquette",882,0.611
"81","Pat Morrissey",877,0.615
"82","April Lee",858,0.629
"83","Todd Lockwood",856,0.621
"84","Lars Grant-West",852,0.621
"85","Efrem Palacios",840,0.623
"86","Dave Allsop",839,0.64
"87","Jeff Miracola",831,0.628
"88","Milivoj Ćeran",812,0.623
"89","Zoltan Boros",807,0.627
"90","Allen Williams",776,0.634
"91","Warren Mahy",750,0.633
"92","Winona Nelson",739,0.641
"93","Val Mayerik",731,0.632
"94","Lucas Staniec",727,0.634
"95","Randy Vargas",692,0.638
"96","Michael Danza",691,0.598
"97","Franz Vohwinkel",684,0.634
"98","Heonhwa Choe",668,0.6
"99","Izzy",657,0.613
"100","James Wong",637,0.619
"101","Steve Argyle",632,0.61
"102","DiTerlizzi",597,0.645
"103","Luca Zontini",588,0.636
"104","Alan Rabinowitz",587,0.636
"105","Trevor Claxton",575,0.604
"106","Vincent Proce",558,0.618
"107","Fred Hooper",557,0.648
"108","Jaime Jones",538,0.634
"109","E. M. Gist",538,0.596
"110","Tony Szczudlo",520,0.625
"111","Ilse Gort",510,0.614
"112","Massimilano Frezzato",476,0.629
"113","Dave Dorman",473,0.617
"114","Kieran Yanner",461,0.624
"115","Mike Raabe",452,0.66
"116","Daren Bader",448,0.648
"117","Omar Rayyan",444,0.609
"118","Heather Hudson",443,0.617
"119","rk post",435,0.63
"120","Hugh Jamieson",434,0.604
"121","Nicholas Gregory",429,0.628
"122","Alayna Danner",420,0.629
"123","Darrell Riche",417,0.6
"124","Evyn Fong",406,0.64
"125","Cristi Balanescu",399,0.619
"126","Adam Rex",394,0.647
"127","Ryan Pancoast",389,0.607
"128","Mark Zug",375,0.643
"129","Brad Rigney",363,0.593
"130","Wisnu Tan",340,0.601
"131","Jason Felix",334,0.598
"132","Daniel Ljunggren",326,0.639
"133","Liam Sharp",326,0.604
"134","Cyril Van Der Haegen",320,0.62
"135","Steve White",306,0.609
"136","Rick Emond",305,0.63
"137","Justin Hampton",296,0.624
