"","CardNames","DeckCount","WinrateAverage"
"1","Logic Knot",1,83.3
"2","Thrill of Possibility",2,75
"3","Blood Researcher",1,75
"4","Duskshell Crawler",1,75
"5","Memory Lapse",4,73.5
"6","Essence Scatter",2,73.3
"7","Faerie Guidemother",3,71.4
"8","Vent Sentinel",2,71.4
"9","Grim Harvest",1,71.4
"10","Cartouche of Strength",1,71.4
"11","Setessan Training",1,71.4
"12","Tandem Lookout",1,71.4
"13","Capsize",1,71.4
"14","Fog",1,71.4
"15","Riddle of Lightning",1,71.4
"16","Resculpt",1,71.4
"17","Alchemist's Vial",1,71.4
"18","Essence Infusion",1,71.4
"19","Lash of Malice",1,71.4
"20","Collateral Damage",1,71.4
"21","Relic of Progenitus",12,71.3
"22","Deadshot Minotaur",2,70.6
"23","Voldaren Epicure",3,70
"24","See Beyond",5,69.2
"25","Prismite",2,69.2
"26","Scattershot",9,68.8
"27","Arashin Cleric",7,68.8
"28","Aviary Mechanic",2,68.8
"29","Boomerang",2,68.8
"30","Foresee",8,68.5
"31","Zulaport Duelist",5,68.4
"32","Fire // Ice",43,68
"33","Forbidden Alchemy",19,67.9
"34","Piracy Charm",5,67.6
"35","Swiftwater Cliffs",101,67.4
"36","Fathom Seer",12,67.4
"37","Tolarian Winds",6,67.4
"38","Fanatical Firebrand",5,66.7
"39","Nightscape Familiar",4,66.7
"40","Consider",4,66.7
"41","Gust of Wind",4,66.7
"42","Haunted Fengraf",3,66.7
"43","Earth Rift",2,66.7
"44","Viscera Seer",2,66.7
"45","Mental Note",2,66.7
"46","Unexpected Fangs",2,66.7
"47","Gods Willing",2,66.7
"48","Feldon's Cane",1,66.7
"49","Ill-Gotten Inheritance",1,66.7
"50","Aura Gnarlid",1,66.7
