"","CardNames","DeckCount","WinrateAverage"
"1","Rite of Consumption",2,87.5
"2","Monstrous Carabid",1,77.8
"3","Dismantling Blow",1,77.8
"4","Lead the Stampede",1,77.8
"5","Kabira Crossroads",4,76.5
"6","Probe",2,75
"7","Hermetic Study",1,75
"8","Sagittars' Volley",1,75
"9","Echoing Calm",1,75
"10","Marauding Blight-Priest",1,75
"11","Unwind",1,75
"12","Seat of the Synod",1,75
"13","Mulldrifter",4,72.4
"14","Cartouche of Ambition",1,71.4
"15","Epicure of Blood",1,71.4
"16","Death Denied",1,71.4
"17","Highland Forest",1,71.4
"18","Tolarian Winds",1,71.4
"19","Crop Rotation",1,71.4
"20","Lava Dart",1,71.4
"21","Lash of Malice",1,71.4
"22","Cry of Contrition",1,71.4
"23","Collateral Damage",1,71.4
"24","Oona's Grace",1,71.4
"25","Repository Skaab",1,71.4
"26","Dissenter's Deliverance",3,70.8
"27","Coral Net",26,69.8
"28","Peppersmoke",6,69.6
"29","Shrivel",6,69.6
"30","Exclude",47,69.3
"31","Nausea",2,69.2
"32","Phyresis",2,69.2
"33","Winter's Rest",11,68.9
"34","Parapet",11,68.8
"35","Inside Out",41,68.6
"36","Haunting Misery",3,68.2
"37","Dihada's Ploy",3,68.2
"38","Sage's Row Denizen",17,68.1
"39","Aura Fracture",9,68.1
"40","Patrician's Scorn",24,68
"41","Ghostly Flicker",4,67.9
"42","Stone Rain",10,67.7
"43","Guardian of the Guildpact",30,67.5
"44","Makeshift Munitions",36,67.2
"45","Azure Fleet Admiral",17,66.7
"46","Envelop",8,66.7
"47","Rolling Thunder",5,66.7
"48","Mutagenic Growth",4,66.7
"49","Mana Leak",3,66.7
"50","Stream of Thought",2,66.7
