"","CardNames","DeckCount","WinrateAverage"
"1","Pyroblast",1187,63.8
"2","Hydroblast",1171,63.7
"3","Duress",1042,63.1
"4","Blue Elemental Blast",1017,63.4
"5","Dispel",1010,63.8
"6","Fiery Cannonade",941,63.3
"7","Red Elemental Blast",856,63.2
"8","Echoing Truth",796,62.9
"9","Relic of Progenitus",771,63.5
"10","Gorilla Shaman",767,64.1
"11","Ancient Grudge",736,63.4
"12","Krark-Clan Shaman",643,62.6
"13","Reaping the Graves",591,62.9
"14","Stormbound Geist",589,64.1
"15","Weather the Storm",583,63.1
"16","Chainer's Edict",516,64.1
"17","Suffocating Fumes",482,64
"18","Gut Shot",462,62.2
"19","Flaring Pain",456,62.3
"20","Cast Down",451,64.5
"21","Electrickery",405,62.6
"22","Dust to Dust",346,61.5
"23","Shenanigans",332,65.1
"24","Unexpected Fangs",312,63.4
"25","Negate",299,64.4
"26","Okiba-Gang Shinobi",270,64.3
"27","Stonehorn Dignitary",267,65.7
"28","Introduction to Prophecy",221,62.8
"29","Viridian Longbow",206,61.3
"30","Gleeful Sabotage",186,61.4
"31","Scattershot Archer",180,61.7
"32","Smash to Smithereens",178,59.7
"33","Nihil Spellbomb",171,63.5
"34","Lone Missionary",169,64.5
"35","Moment's Peace",168,65.4
"36","Pest Summoning",165,62.6
"37","Curfew",164,65.7
"38","Swirling Sandstorm",163,63.9
"39","Standard Bearer",162,63
"40","Molten Rain",158,60.3
"41","Echoing Decay",155,60.5
"42","Introduction to Annihilation",153,62.6
"43","Keldon Marauders",148,60.3
"44","Lifelink",127,62.6
"45","Thorn of the Black Rose",125,63.1
"46","Environmental Sciences",119,63.1
"47","Leave No Trace",118,63.3
"48","Revoke Existence",118,63.9
"49","Pulse of Murasa",105,64.7
"50","Crimson Acolyte",105,62.3
