"","CardNames","DeckCount","WinrateAverage"
"1","Pyroblast",1214,64
"2","Hydroblast",1188,63.8
"3","Duress",1047,63.1
"4","Blue Elemental Blast",1031,63.5
"5","Dispel",1018,63.9
"6","Fiery Cannonade",961,63.6
"7","Red Elemental Blast",871,63.4
"8","Echoing Truth",801,63
"9","Gorilla Shaman",782,64.3
"10","Relic of Progenitus",781,63.7
"11","Ancient Grudge",744,63.5
"12","Krark-Clan Shaman",650,62.7
"13","Weather the Storm",593,63.3
"14","Stormbound Geist",593,64.1
"15","Reaping the Graves",593,62.9
"16","Chainer's Edict",517,64.1
"17","Suffocating Fumes",484,64.1
"18","Gut Shot",467,62.3
"19","Flaring Pain",467,62.5
"20","Cast Down",452,64.5
"21","Electrickery",421,63.1
"22","Dust to Dust",359,61.9
"23","Shenanigans",340,65.3
"24","Unexpected Fangs",312,63.4
"25","Negate",311,64.8
"26","Stonehorn Dignitary",274,65.8
"27","Okiba-Gang Shinobi",272,64.4
"28","Introduction to Prophecy",223,62.9
"29","Viridian Longbow",209,61.5
"30","Gleeful Sabotage",189,61.6
"31","Scattershot Archer",185,62.1
"32","Smash to Smithereens",183,59.9
"33","Moment's Peace",172,65.6
"34","Nihil Spellbomb",172,63.5
"35","Lone Missionary",171,64.6
"36","Curfew",167,65.9
"37","Pest Summoning",166,62.6
"38","Standard Bearer",165,63.2
"39","Swirling Sandstorm",164,64.1
"40","Molten Rain",164,60.8
"41","Echoing Decay",155,60.5
"42","Introduction to Annihilation",154,62.6
"43","Keldon Marauders",153,60.6
"44","Lifelink",129,62.8
"45","Revoke Existence",127,64.4
"46","Thorn of the Black Rose",126,63.1
"47","Leave No Trace",121,63.6
"48","Environmental Sciences",119,63.1
"49","Pulse of Murasa",109,65.1
"50","Crimson Acolyte",107,62.4
