"","Artist","NoCopies","Winrate"
"1","Christopher Rush",676,0.822
"2","Mark Poole",366,0.794
"3","John Avon",364,0.793
"4","Douglas Shuler",316,0.8
"5","Jesper Myrfors",274,0.808
"6","Jonas De Ro",244,0.812
"7","Anson Maddocks",232,0.821
"8","Jason Felix",232,0.833
"9","Bastien L. Deharme",156,0.775
"10","Rob Alexander",154,0.8
"11","Mark Tedin",136,0.798
"12","Svetlin Velinov",134,0.786
"13","Greg Staples",122,0.8
"14","Eric Fortune",116,0.79
"15","Steven Belledin",106,0.785
"16","Matt Stewart",102,0.8
"17","Raymond Swanland",94,0.769
"18","Tom Wänerstrand",90,0.848
"19","Rebecca Guay",84,0.857
"20","Eytan Zana",84,0.818
"21","Ron Spears",76,0.78
"22","Randy Gallegos",74,0.837
"23","Zoltan Boros",70,0.78
"24","Slawomir Maniak",68,0.865
"25","Sidharth Chaturvedi",68,0.867
"26","Lindsey Look",68,0.775
"27","Daniel Ljunggren",68,0.763
"28","Craig J Spearing",66,0.821
"29","James Paick",66,0.773
"30","Alex Horley-Orlandelli",64,0.788
"31","Greg Hildebrandt",64,0.788
"32","Mike Raabe",64,0.763
"33","Brian Despain",64,0.765
"34","Dan Scott",62,0.848
"35","Kev Walker",60,0.781
"36","Dan Frazier",60,0.75
"37","Gabor Szikszai",56,0.839
"38","Ilse Gort",56,0.786
"39","Christopher Moeller",54,0.862
"40","Michael Sutfin",52,0.795
"41","Eric Peterson",48,0.829
"42","Adam Rex",48,0.778
"43","Marc Simonetti",48,0.8
"44","Sandra Everingham",48,0.75
"45","Aaron Miller",46,0.846
"46","Vance Kovacs",46,0.82
"47","Joseph Meehan",46,0.829
"48","Warren Mahy",44,0.839
"49","Jesper Ejsing",44,0.75
"50","Colin Boyer",42,0.88
"51","Paolo Parente",42,0.818
"52","Lars Grant-West",40,0.833
"53","Bryan Talbot",40,0.8
"54","Cristi Balanescu",40,0.8
"55","David Gaillet",40,0.75
"56","Michael Danza",40,0.75
"57","Randy Vargas",38,0.905
"58","Tom Kyffin",38,0.85
"59","Heonhwa Choe",38,0.75
"60","Daren Bader",36,0.812
"61","Ben Thompson",34,0.75
"62","E. M. Gist",34,0.75
"63","Howard Lyon",34,0.781
"64","Mathias Kollros",34,0.76
"65","Fred Hooper",32,0.853
"66","Vincent Proce",32,0.812
"67","Irina Nordsol",32,0.765
"68","Winona Nelson",26,0.806
"69","Adam Paquette",26,0.812
"70","Allen Williams",26,0.765
"71","Ryan Pancoast",26,0.8
"72","Lius Lasahido",26,0.875
"73","Jaime Jones",24,0.846
"74","Efrem Palacios",24,0.917
"75","Ravenna Tran",24,0.792
"76","Dave Allsop",24,0.833
"77","Massimilano Frezzato",24,0.833
"78","Daarken",24,0.833
"79","Alayna Danner",24,0.812
"80","Matt Thompson",24,0.769
"81","DiTerlizzi",22,0.792
"82","Izzy",22,0.8
"83","Filip Burburan",22,0.8
"84","Raoul Vitale",22,0.824
"85","Todd Lockwood",20,0.875
"86","Anastasia Ovchinnikova",20,0.75
"87","James Wong",20,0.833
"88","Lawrence Snelly",20,0.714
"89","Pat Morrissey",20,0.875
"90","Terese Nielsen",20,0.917
"91","Drew Tucker",20,0.722
"92","Kieran Yanner",16,0.833
"93","Franz Vohwinkel",16,0.875
"94","rk post",16,0.875
"95","Dany Orizio",16,0.875
"96","Trevor Claxton",16,0.75
"97","Nils Hamm",16,0.75
"98","David Martin",16,0.769
"99","Paul Scott Canavan",16,0.75
"100","Tony Szczudlo",14,0.793
"101","Dave Kendall",14,0.812
"102","Rick Emond",14,0.875
"103","Evyn Fong",14,0.769
"104","Luca Zontini",14,0.833
"105","Liam Sharp",14,0.75
"106","Nicholas Gregory",12,0.875
"107","Ken Meyer, Jr.",12,0.875
"108","Thomas M. Baxa",12,0.75
"109","Mike Ploog",12,0.75
"110","Wayne England",10,1
"111","Ben Wootten",10,0.812
"112","Magali Villeneuve",10,0.812
"113","Cyril Van Der Haegen",10,0.875
"114","Dave Dorman",10,0.875
"115","Ron Spencer",10,0.75
"116","Anna Steinbauer",8,0.75
"117","Piotr Dura",8,0.833
"118","Glen Angus",8,1
"119","Omar Rayyan",8,1
"120","Anthony S. Waters",8,0.75
"121","Ryan Barger",8,0.75
"122","Milivoj Ćeran",8,0.75
"123","Lucas Staniec",8,0.75
"124","Jeff Miracola",8,0.75
"125","April Lee",8,0.75
"126","Val Mayerik",8,0.75
"127","Alan Rabinowitz",8,0.75
"128","Daniel Gelon",8,0.75
"129","Doug Chaffee",8,0.75
"130","John Matson",8,0.75
"131","Richard Kane Ferguson",8,0.75
"132","Wesley Burt",6,1
"133","Justin Hampton",6,1
"134","Seb McKinnon",6,0.75
"135","Jim Nelson",6,0.75
"136","Joel Thomas",6,0.75
"137","Karl Kopinski",6,0.75
"138","Don Hazeltine",6,0.75
"139","Darrell Riche",6,0.75
"140","Matt Cavotta",6,0.75
"141","Roger Raupp",6,0.75
"142","Johannes Voss",6,0.75
"143","Pete Venters",4,1
"144","Justyna Gil",4,1
"145","Richard Thomas",4,0.75
"146","Kaja Foglio",4,0.75
"147","Titus Lunter",4,0.75
"148","Brad Rigney",4,0.75
"149","Justin Sweet",4,0.75
"150","Jason A. Engle",4,0.75
"151","Heather Hudson",4,0.667
"152","YW Tang",4,0.75
"153","Wisnu Tan",2,1
"154","Zack Stella",2,1
"155","Paul Lee",2,0.75
"156","Johann Bodin",2,0.75
"157","Jeff Easley",2,0.75
"158","Ryan Yee",2,0.75
"159","Mark Romanoski",2,0.75
