"","CardNames","DeckCount","WinrateAverage"
"1","Oblivion Ring",3,100
"2","Elvish Mystic",2,100
"3","Fyndhorn Elves",2,100
"4","Valakut Invoker",2,100
"5","Crimson Fleet Commodore",2,100
"6","Sentinel's Eyes",1,100
"7","Crumbling Vestige",1,100
"8","Birchlore Rangers",1,100
"9","Elvish Vanguard",1,100
"10","Essence Warden",1,100
"11","Jaspera Sentinel",1,100
"12","Lys Alana Huntmaster",1,100
"13","Priest of Titania",1,100
"14","Timberwatch Elf",1,100
"15","Wellwisher",1,100
"16","Distant Melody",1,100
"17","Vivien's Grizzly",1,100
"18","Terrarion",1,100
"19","Wedding Invitation",1,100
"20","Lead the Stampede",3,91.7
"21","Skred",5,90.5
"22","Volatile Fjord",5,90.5
"23","Faerie Seer",6,88
"24","Ninja of the Deep Hours",6,88
"25","Spellstutter Sprite",6,88
"26","Electrickery",6,88
"27","Ulamog's Crusher",4,87.5
"28","Axebane Guardian",2,87.5
"29","Llanowar Elves",2,87.5
"30","Overgrown Battlement",2,87.5
"31","Saruli Caretaker",2,87.5
"32","Tinder Wall",2,87.5
"33","Tuktuk Rubblefort",2,87.5
"34","Azure Fleet Admiral",2,87.5
"35","Frantic Inventory",2,87.5
"36","Snow-Covered Forest",2,87.5
"37","Arbor Elf",2,87.5
"38","Mwonvuli Acid-Moss",2,87.5
"39","Thermokarst",2,87.5
"40","Highland Forest",2,87.5
"41","Quandrix Campus",2,87.5
"42","Frogmite",2,87.5
"43","Gearseeker Serpent",2,87.5
"44","Springleaf Drum",2,87.5
"45","Witching Well",2,87.5
"46","Faerie Miscreant",2,87.5
"47","Wastes",2,87.5
"48","Augur of Bolas",7,86.2
"49","Guardian of the Guildpact",8,85.3
"50","Quirion Ranger",5,85
