"","ArtistName","Winrate","Presence"
"1","Christopher Rush",NA,0
"2","John Avon",NA,0
"3","Tom Kyffin",NA,0
"4","Justin Hampton",NA,0
"5","Marc Simonetti",NA,0
"6","Wesley Burt",NA,0
"7","Vance Kovacs",NA,0
"8","Douglas Shuler",NA,0
"9","Efrem Palacios",NA,0
"10","Howard Lyon",NA,0
"11","Mark Poole",NA,0
"12","Anson Maddocks",NA,0
"13","Todd Lockwood",NA,0
"14","Jesper Myrfors",NA,0
"15","Terese Nielsen",NA,0
"16","Greg Staples",NA,0
"17","Greg Hildebrandt",NA,0
"18","Paolo Parente",NA,0
"19","Rob Alexander",NA,0
"20","Eric Fortune",NA,0
"21","Tony Szczudlo",NA,0
"22","Ron Spears",NA,0
"23","Michael Sutfin",NA,0
"24","Dany Orizio",NA,0
"25","Glen Angus",NA,0
"26","Raoul Vitale",NA,0
"27","Pete Venters",NA,0
"28","Rebecca Guay",NA,0
"29","Dave Dorman",NA,0
"30","Omar Rayyan",NA,0
"31","Lars Grant-West",NA,0
"32","Jesper Ejsing",NA,0
"33","Raymond Swanland",NA,0
"34","Sandra Everingham",NA,0
"35","Mark Tedin",NA,0
"36","Heonhwa Choe",NA,0
"37","Michael Danza",NA,0
"38","James Paick",NA,0
"39","E. M. Gist",NA,0
"40","Alex Horley-Orlandelli",NA,0
"41","Sidharth Chaturvedi",NA,0
"42","DiTerlizzi",NA,0
"43","Jonas De Ro",NA,0
"44","Lindsey Look",NA,0
"45","Magali Villeneuve",NA,0
"46","Eytan Zana",NA,0
"47","Bryan Talbot",NA,0
"48","Winona Nelson",NA,0
"49","Matt Thompson",NA,0
"50","Jaime Jones",NA,0
"51","Steven Belledin",NA,0
"52","Sung Choi",NA,0
"53","Filip Burburan",NA,0
"54","Erica Yang",NA,0
"55","Matt Stewart",NA,0
"56","Bastien L. Deharme",NA,0
"57","Colin Boyer",NA,0
"58","Dan Scott",NA,0
"59","Svetlin Velinov",NA,0
"60","rk post",NA,0
"61","Johann Bodin",NA,0
"62","Ben Wootten",NA,0
"63","Anna Steinbauer",NA,0
"64","Kev Walker",NA,0
"65","Nils Hamm",NA,0
"66","Slawomir Maniak",NA,0
"67","Franz Vohwinkel",NA,0
"68","Nicholas Gregory",NA,0
"69","Adam Paquette",NA,0
"70","Adam Rex",NA,0
"71","Anastasia Ovchinnikova",NA,0
"72","Ilse Gort",NA,0
"73","Ryan Pancoast",NA,0
"74","Dan Frazier",NA,0
"75","Izzy",NA,0
"76","Trevor Claxton",NA,0
"77","Liam Sharp",NA,0
"78","Brad Rigney",NA,0
"79","David Gaillet",NA,0
"80","Christopher Moeller",NA,0
"81","Randy Gallegos",NA,0
"82","Ken Meyer, Jr.",NA,0
"83","Alayna Danner",NA,0
"84","Rick Emond",NA,0
"85","Cristi Balanescu",NA,0
"86","Lius Lasahido",NA,0
"87","Tom Wänerstrand",NA,0
"88","David Martin",NA,0
"89","Heather Hudson",NA,0
"90","Ben Thompson",NA,0
"91","Randy Vargas",NA,0
"92","Eric Peterson",NA,0
"93","Warren Mahy",NA,0
"94","Richard Thomas",NA,0
"95","Kieran Yanner",NA,0
"96","Daarken",NA,0
"97","Ron Spencer",NA,0
"98","Mark A. Nelson",NA,0
"99","Cyril Van Der Haegen",NA,0
"100","Paul Lee",NA,0
"101","Joseph Meehan",NA,0
"102","Fred Hooper",NA,0
"103","Wayne England",NA,0
"104","Craig J Spearing",NA,0
"105","Gabor Szikszai",NA,0
"106","Mike Ploog",NA,0
"107","Scott Murphy",NA,0
"108","Denman Rooke",NA,0
"109","Jonathan Kuo",NA,0
"110","Aaron Miller",NA,0
"111","Mark Winters",NA,0
"112","Alan Pollack",NA,0
"113","James Zapata",NA,0
"114","Steve Argyle",NA,0
"115","Wisnu Tan",NA,0
"116","Ekaterina Burmak",NA,0
"117","Mike Raabe",NA,0
"118","April Lee",NA,0
"119","Daren Bader",NA,0
"120","Roger Raupp",NA,0
"121","Zezhou Chen",NA,0
"122","YW Tang",NA,0
"123","Dave Allsop",NA,0
"124","Jason Felix",NA,0
"125","Dave Kendall",NA,0
"126","Scott M. Fischer",NA,0
"127","Pat Morrissey",NA,0
"128","Johannes Voss",NA,0
"129","Torstein Nordstrand",NA,0
"130","Darrell Riche",NA,0
"131","Lawrence Snelly",NA,0
"132","Justin Sweet",NA,0
"133","Matt Cavotta",NA,0
"134","Mark Zug",NA,0
"135","Mathias Kollros",NA,0
"136","Jason A. Engle",NA,0
"137","Piotr Dura",NA,0
"138","Michael Phillippi",NA,0
"139","Joel Thomas",NA,0
"140","John Matson",NA,0
"141","Jenn Ravenna Tran",NA,0
"142","Cynthia Sheppard",NA,0
"143","Jeremy Jarvis",NA,0
