"","CardNames","DeckCount","WinrateAverage"
"1","Dispel",102,64.1
"2","Ash Barrens",95,65.4
"3","Preordain",79,66.8
"4","Counterspell",78,66
"5","Galvanic Blast",68,64.1
"6","Prophetic Prism",66,64.3
"7","Great Furnace",66,64.3
"8","Silverbluff Bridge",66,63.2
"9","Augur of Bolas",63,65.2
"10","Chromatic Star",62,64
"11","Cast Down",62,64.8
"12","Ichor Wellspring",61,64.4
"13","Deadly Dispute",60,64.6
"14","Vault of Whispers",59,64.9
"15","Faerie Seer",58,67.2
"16","Ninja of the Deep Hours",58,67.2
"17","Spellstutter Sprite",58,67.2
"18","Snow-Covered Island",58,65.6
"19","Thorn of the Black Rose",57,64.9
"20","Plains",57,64.3
"21","Darksteel Citadel",56,64.3
"22","Island",55,66.9
"23","Seat of the Synod",54,62.9
"24","Thoughtcast",53,62.9
"25","Brainstorm",53,65.9
"26","Atog",52,63.9
"27","Fling",52,63.9
"28","Makeshift Munitions",52,64.6
"29","Myr Enforcer",51,64.1
"30","Forest",51,61.5
"31","Disciple of the Vault",50,64.7
"32","Swamp",50,64.8
"33","Mistvault Bridge",48,64.3
"34","Lightning Bolt",46,63.7
"35","Drossforge Bridge",45,65.7
"36","Evolving Wilds",40,67.4
"37","Mulldrifter",40,64.7
"38","Gurmag Angler",38,66.2
"39","Snuff Out",38,66.3
"40","Ice Tunnel",37,66.3
"41","Mountain",37,63.9
"42","Chainer's Edict",33,63.2
"43","Ephemerate",32,65.6
"44","Cave of Temptation",31,63.2
"45","Rancor",30,62
"46","Silhana Ledgewalker",27,62.6
"47","Cleansing Wildfire",26,62.7
"48","Gearseeker Serpent",25,62.4
"49","Suffocating Fumes",25,64.1
"50","Bonder's Ornament",25,65.7
