"","CardNames","DeckCount","WinrateAverage"
"1","Great Furnace",116,63.9
"2","Experimental Synthesizer",106,64.3
"3","Galvanic Blast",97,64.2
"4","Chromatic Star",87,64.4
"5","Swamp",87,63.3
"6","Deadly Dispute",86,64.4
"7","Vault of Whispers",85,64.3
"8","Makeshift Munitions",84,64.2
"9","Ichor Wellspring",79,64.6
"10","Mountain",74,64.3
"11","Lightning Bolt",71,64.2
"12","Drossforge Bridge",71,64.3
"13","Plains",63,66.3
"14","Myr Enforcer",62,64.2
"15","Blood Fountain",62,64.2
"16","Frogmite",61,64
"17","Disciple of the Vault",60,64.2
"18","Counterspell",54,61.8
"19","Ash Barrens",53,63.9
"20","Gurmag Angler",53,62.9
"21","Reckoner's Bargain",53,64.4
"22","Krark-Clan Shaman",52,65
"23","Faerie Seer",51,61.3
"24","Ninja of the Deep Hours",51,61.3
"25","Spellstutter Sprite",51,61.3
"26","Preordain",46,61.3
"27","Mistvault Bridge",46,64.8
"28","Silverbluff Bridge",44,65.3
"29","Thraben Inspector",43,65.5
"30","Darksteel Citadel",42,63.2
"31","Snow-Covered Island",39,61
"32","Boros Garrison",37,66.1
"33","Moon-Circuit Hacker",36,60.5
"34","Forest",36,65.7
"35","Seeker of the Way",31,65.6
"36","Wind-Scarred Crag",31,65.4
"37","Brainstorm",29,60.2
"38","Kor Skyfisher",29,64
"39","Rustvale Bridge",28,65.8
"40","Island",28,61.6
"41","Glint Hawk",28,64.2
"42","Rancor",28,65.8
"43","Augur of Bolas",27,60.1
"44","Dispel",27,57
"45","Night's Whisper",27,65
"46","Forgotten Cave",27,66.5
"47","Thorn of the Black Rose",26,62.1
"48","Suffocating Fumes",26,62.5
"49","Cast Down",26,62.6
"50","Ancient Den",26,63.2
