"","CardNames","DeckCount","Winrate95Min"
"1","Flaring Pain",61,61.2
"2","Red Elemental Blast",76,61.1
"3","Dust to Dust",44,61
"4","Relic of Progenitus",100,60.7
"5","Duress",98,60.7
"6","Gut Shot",49,60.4
"7","Electrickery",78,60.2
"8","Crimson Acolyte",16,60.1
"9","Pyroblast",107,59.9
"10","Revoke Existence",26,59.6
"11","Weather the Storm",50,59.3
"12","Chainer's Edict",50,59.2
"13","Gorilla Shaman",99,59.2
"14","Krark-Clan Shaman",60,59.1
"15","Lifelink",18,59
"16","Standard Bearer",15,58.4
"17","Fiery Cannonade",89,58.3
"18","Feldon's Cane",20,57.9
"19","Blue Elemental Blast",55,57.9
"20","Dispel",51,57.2
"21","Spell Pierce",14,57.1
"22","Nihil Spellbomb",25,56.7
"23","Leave No Trace",10,56.6
"24","Unexpected Fangs",27,56
"25","Parapet",9,55.9
"26","Ghitu Lavarunner",11,55.9
"27","Martyr of Ashes",12,55.1
"28","Shenanigans",39,55.1
"29","Firebrand Archer",10,54.9
"30","Reaping the Graves",12,54.8
"31","Annul",24,54.6
"32","Cast Down",26,54.6
"33","Cartouche of Strength",2,54.4
"34","Lone Missionary",10,54.3
"35","Suffocating Fumes",28,54.3
"36","Ray of Revelation",4,54.1
"37","Smash to Smithereens",15,53.6
"38","Circle of Protection: Green",8,53.3
"39","Hydroblast",33,53.3
"40","Echoing Truth",19,52.9
"41","Negate",12,52.2
"42","Curfew",25,52
"43","Reckoner's Bargain",9,51.3
"44","Scattershot Archer",12,51.3
"45","Light of Hope",6,51
"46","Epic Confrontation",5,50.7
"47","Viridian Longbow",7,50.7
"48","Gleeful Sabotage",9,50.6
"49","Young Wolf",5,50.2
"50","Dawnbringer Cleric",10,49.8
