"","CardNames","DeckCount","WinrateAverage"
"1","Cartouche of Strength",2,81.2
"2","Ramosian Rally",2,76.9
"3","Remember the Fallen",2,75
"4","Pulse of Murasa",1,75
"5","Ray of Revelation",4,73.3
"6","Benevolent Blessing",1,71.4
"7","Emerge Unscathed",1,71.4
"8","Karametra's Blessing",1,71.4
"9","Fragmentize",1,71.4
"10","Oblivion Ring",1,71.4
"11","Season of Renewal",1,71.4
"12","Turn Aside",1,71.4
"13","God-Pharaoh's Faithful",1,71.4
"14","Counterspell",1,71.4
"15","Last Breath",1,71.4
"16","Crimson Acolyte",16,69.2
"17","Disfigure",2,69.2
"18","Unearth",2,69.2
"19","Navigator's Compass",2,69.2
"20","Parapet",9,68.8
"21","Mountain",2,68.8
"22","Epic Confrontation",5,68.6
"23","Leave No Trace",10,68.5
"24","Standard Bearer",15,67.9
"25","Lifelink",18,67.7
"26","Pestilence",5,67.6
"27","Young Wolf",5,67.6
"28","Ghitu Lavarunner",11,67.5
"29","Spell Pierce",14,67.3
"30","Circle of Protection: Green",8,67.3
"31","Firebrand Archer",10,67.1
"32","Revoke Existence",26,67
"33","Lone Missionary",10,66.7
"34","Light of Hope",6,66.7
"35","Distress",4,66.7
"36","Deglamer",2,66.7
"37","Serene Heart",2,66.7
"38","Sage's Row Denizen",1,66.7
"39","Exhume",1,66.7
"40","Darkness",1,66.7
"41","Mirrorshell Crab",1,66.7
"42","Repeal",1,66.7
"43","Snow-Covered Mountain",1,66.7
"44","Drossforge Bridge",1,66.7
"45","Darksteel Axe",1,66.7
"46","Network Terminal",1,66.7
"47","Golem Foundry",1,66.7
"48","Scattershot",1,66.7
"49","Dust to Dust",44,66.6
"50","Feldon's Cane",20,66.4
