"","CardNames","DeckCount","Winrate95Min"
"1","Krark-Clan Shaman",62,63.6
"2","Gorilla Shaman",116,63.6
"3","Pyroblast",90,63
"4","Dust to Dust",81,62.7
"5","Revoke Existence",33,61.7
"6","Nameless Inversion",12,61.4
"7","Introduction to Prophecy",13,61.4
"8","Light of Hope",21,61.3
"9","Leave No Trace",22,61
"10","Negate",27,60.7
"11","Red Elemental Blast",77,60.5
"12","Blue Elemental Blast",75,60.5
"13","Duress",71,60.5
"14","Devour Flesh",15,60.2
"15","Spell Pierce",26,60.1
"16","Electrickery",67,60
"17","Cast Down",8,59.8
"18","Relic of Progenitus",97,59.8
"19","Abrade",11,59.6
"20","Cuombajj Witches",14,59.6
"21","Hydroblast",62,59.2
"22","Nihil Spellbomb",59,58.6
"23","Fiery Cannonade",63,58.4
"24","Chainer's Edict",80,58.4
"25","Last Breath",19,57.9
"26","Dawnbringer Cleric",27,57.6
"27","Weather the Storm",33,57.5
"28","Stormbound Geist",13,57.4
"29","Dispel",48,57.1
"30","Annul",34,56.9
"31","Shenanigans",25,56.2
"32","Gut Shot",39,56.1
"33","Echoing Truth",21,55.3
"34","Curfew",23,55
"35","Unexpected Fangs",31,54.8
"36","Suffocating Fumes",35,54.8
"37","Stonehorn Dignitary",16,54.3
"38","Lone Missionary",15,54
"39","Faerie Macabre",5,53.7
"40","Flaring Pain",9,53.7
"41","Smash to Smithereens",28,52.9
"42","Gnaw to the Bone",6,52.4
"43","Nature's Chant",11,52.2
"44","Sage's Row Denizen",2,51.9
"45","Stream of Thought",5,51.9
"46","Sunscape Familiar",1,51.8
"47","Mountain",8,51.7
"48","Tormod's Crypt",3,51.6
"49","Prismatic Strands",11,51.5
"50","Counterspell",4,51.3
