"","SetCode","NoCopies","Winrate"
"1","LEA",2896,0.643
"2","MRD",1571,0.644
"3","ICE",1053,0.65
"4","SOM",634,0.638
"5","MH2",585,0.645
"6","TSP",496,0.629
"7","MH1",456,0.647
"8","NEO",431,0.647
"9","AFR",422,0.638
"10","LRW",417,0.652
"11","M11",362,0.656
"12","VOW",339,0.645
"13","MBS",335,0.64
"14","KHM",318,0.642
"15","ALL",317,0.646
"16","ZEN",309,0.651
"17","DIS",305,0.643
"18","JUD",294,0.642
"19","ONS",280,0.627
"20","XLN",275,0.64
"21","C16",267,0.641
"22","CMR",241,0.629
"23","ROE",235,0.649
"24","WWK",223,0.65
"25","ULG",214,0.656
"26","USG",209,0.653
"27","IKO",202,0.641
"28","SOI",200,0.641
"29","KTK",188,0.645
"30","TOR",187,0.64
"31","DKA",185,0.664
"32","RAV",183,0.647
"33","M13",166,0.651
"34","MMQ",164,0.626
"35","MOR",163,0.627
"36","ALA",162,0.653
"37","NPH",160,0.672
"38","STX",157,0.657
"39","MID",150,0.649
"40","HOU",148,0.657
"41","RTR",145,0.646
"42","M21",124,0.622
"43","FRF",121,0.645
"44","AER",121,0.643
"45","ISD",118,0.651
"46","GTC",115,0.636
"47","INV",111,0.647
"48","AKH",111,0.629
"49","TMP",111,0.638
"50","BOK",106,0.668
"51","VIS",103,0.617
"52","SHM",102,0.659
"53","PLS",93,0.648
"54","ODY",87,0.647
"55","FUT",84,0.626
"56","RNA",69,0.626
"57","M12",69,0.618
"58","P02",68,0.65
"59","DOM",66,0.645
"60","ARN",64,0.64
"61","EVE",63,0.658
"62","BFZ",57,0.643
"63","LGN",54,0.624
"64","FEM",53,0.6
"65","AVR",52,0.645
"66","CSP",50,0.66
"67","CN2",48,0.631
"68","LEG",48,0.619
"69","DST",43,0.669
"70","ORI",40,0.718
"71","SCG",40,0.6
"72","NEM",36,0.629
"73","ATQ",36,0.636
"74","ELD",29,0.661
"75","PLC",28,0.674
"76","APC",26,0.669
"77","M14",26,0.613
"78","WAR",24,0.69
"79","GPT",23,0.675
"80","M15",20,0.65
"81","ARB",19,0.592
"82","5DN",16,0.641
"83","ZNR",16,0.63
"84","EMN",16,0.556
"85","CHK",16,0.606
"86","KLD",13,0.66
"87","THB",12,0.723
"88","JOU",8,0.615
"89","JMP",6,0.667
"90","OGW",5,0.711
"91","M20",5,0.679
"92","THS",5,0.65
"93","STH",2,0.643
"94","BNG",2,0.571
