"","CardNames","DeckCount","WinrateAverage"
"1","Kessig Flamebreather",2,83.3
"2","Exclude",2,80
"3","Guardian Naga",2,76.9
"4","Coalition Honor Guard",1,75
"5","Spreading Seas",1,75
"6","Deep Analysis",3,73.9
"7","Negate",11,73.1
"8","Unmake",4,73.1
"9","Tolarian Terror",4,71.4
"10","Counterspell",3,71.4
"11","Shore Up",2,71.4
"12","Capsize",1,71.4
"13","Stonehorn Dignitary",4,70.4
"14","Stream of Thought",2,69.2
"15","Ghostfire",3,68.4
"16","Echoing Truth",3,68.4
"17","Destroy Evil",5,67.7
"18","Envelop",10,67.1
"19","Moment's Peace",10,66.7
"20","Ancient Grudge",8,66.7
"21","Shattering Blow",6,66.7
"22","Circle of Protection: Green",1,66.7
"23","Fire // Ice",1,66.7
"24","Wrench Mind",1,66.7
"25","Raven's Crime",1,66.7
"26","Fallaji Archaeologist",1,66.7
"27","Masked Vandal",1,66.7
"28","Harsh Sustenance",1,66.7
"29","Wrap in Vigor",1,66.7
"30","Nettle Sentinel",1,66.7
"31","Stone Rain",1,66.7
"32","Dwarven Forge-Chanter",1,66.7
"33","Scattershot",1,66.7
"34","Nylea's Disciple",1,66.7
"35","Sylvok Lifestaff",1,66.7
"36","Goblin Bushwhacker",1,66.7
"37","Weakstone's Subjugation",1,66.7
"38","Crystallization",7,66
"39","Makeshift Munitions",11,65.8
"40","Stormbound Geist",16,65.5
"41","Turn Aside",8,65.4
"42","Fog",4,65.4
"43","Nausea",4,65.4
"44","Faerie Macabre",6,65
"45","Augur of Bolas",3,65
"46","Blue Elemental Blast",104,64.8
"47","Krark-Clan Shaman",33,64.8
"48","Revoke Existence",10,64.7
"49","Return to Nature",5,64.7
"50","Thorn of the Black Rose",19,64.5
