"","CardNames","DeckCount","WinrateAverage"
"1","Silverquill Campus",1,87.5
"2","Kessig Flamebreather",1,77.8
"3","Conjurer's Bauble",1,77.8
"4","Terrarion",1,77.8
"5","Golem Foundry",1,77.8
"6","Frantic Salvage",1,77.8
"7","Snow-Covered Swamp",1,77.8
"8","Ashnod's Altar",1,77.8
"9","Polluted Mire",1,77.8
"10","Goblin Grenade",1,77.8
"11","Compulsive Research",8,76.9
"12","Urborg Repossession",3,76
"13","Quandrix Campus",10,75
"14","Dark Ritual",8,75
"15","Springleaf Drum",3,75
"16","Devour Flesh",1,75
"17","Lazotep Reaver",1,75
"18","Gorilla Shaman",1,75
"19","Secluded Steppe",1,75
"20","Forgotten Cave",1,75
"21","Network Terminal",10,74.7
"22","Repository Skaab",8,74.2
"23","Imposing Vantasaur",6,73.9
"24","Drannith Stinger",6,73.9
"25","Songs of the Damned",6,73.9
"26","Blood Celebrant",6,73.9
"27","Cabal Ritual",6,73.9
"28","Architects of Will",6,73.9
"29","Dihada's Ploy",6,73.9
"30","Horror of the Broken Lands",6,73.9
"31","Drannith Healer",6,73.9
"32","Street Wraith",6,73.9
"33","Stonehorn Dignitary",11,73.8
"34","Dark-Dweller Oracle",7,73.2
"35","Tramway Station",7,73.2
"36","Skirk Prospector",7,73.2
"37","Masked Vandal",7,73.2
"38","First Day of Class",7,73.2
"39","Shred Memory",7,73.2
"40","Putrid Goblin",7,73.2
"41","Goblin Matron",7,73.2
"42","Unearth",7,73.2
"43","Crystal Grotto",16,72.5
"44","Dinrova Horror",12,72.5
"45","Lotus Petal",8,72.4
"46","Breath Weapon",13,72.2
"47","Crop Rotation",16,71.9
"48","Thrilling Discovery",4,71.9
"49","Mystical Teachings",24,71.7
"50","Expedition Map",17,71.7
