"","Artist","NoCopies","Winrate"
"1","Mark Poole",925,0.661
"2","Christopher Rush",699,0.635
"3","Rob Alexander",551,0.64
"4","Kaja Foglio",539,0.655
"5","Douglas Shuler",479,0.65
"6","Richard Thomas",476,0.647
"7","Irina Nordsol",467,0.631
"8","Marc Simonetti",418,0.628
"9","Jesper Myrfors",388,0.625
"10","Steven Belledin",384,0.642
"11","Bastien L. Deharme",363,0.65
"12","John Avon",353,0.635
"13","Anthony S. Waters",336,0.647
"14","Mathias Kollros",321,0.63
"15","Matt Stewart",295,0.655
"16","Svetlin Velinov",286,0.645
"17","Greg Staples",261,0.629
"18","Anson Maddocks",246,0.672
"19","Vance Kovacs",244,0.655
"20","Ben Thompson",241,0.638
"21","Franz Vohwinkel",232,0.669
"22","Alex Horley-Orlandelli",217,0.648
"23","Raoul Vitale",217,0.645
"24","Jean-Sébastien Rossbach",213,0.608
"25","Lie Setiawan",211,0.601
"26","Andreas Rocha",209,0.593
"27","Justine Cruz",201,0.639
"28","Dan Scott",184,0.63
"29","Thomas M. Baxa",183,0.645
"30","Joseph Meehan",181,0.643
"31","Dan Frazier",176,0.649
"32","Anastasia Ovchinnikova",176,0.632
"33","Greg Hildebrandt",175,0.649
"34","Evyn Fong",170,0.639
"35","Terese Nielsen",163,0.637
"36","Jonas De Ro",161,0.671
"37","YW Tang",153,0.632
"38","Ilse Gort",150,0.625
"39","Rebecca Guay",149,0.68
"40","Zezhou Chen",144,0.606
"41","Sandra Everingham",143,0.651
"42","Yeong-Hao Han",143,0.627
"43","Mark Tedin",137,0.681
"44","John Severin Brassell",133,0.625
"45","Steve Argyle",133,0.626
"46","Warren Mahy",133,0.611
"47","Ron Spears",131,0.662
"48","Eytan Zana",131,0.632
"49","Martina Fackova",128,0.625
"50","Daarken",120,0.644
"51","Mike Ploog",120,0.668
"52","Magali Villeneuve",117,0.671
"53","Vincent Christiaens",117,0.643
"54","Eric Deschamps",117,0.625
"55","Goran Josic",116,0.634
"56","Julian Kok Joon Wen",112,0.586
"57","Eric Fortune",109,0.687
"58","Howard Lyon",104,0.662
"59","David Rapoza",104,0.652
"60","Robin Olausson",104,0.646
"61","Allen Williams",104,0.616
