"","CardNames","DeckCount","Winrate95Min"
"1","Island",87,62.4
"2","Sea Gate",25,62.2
"3","Crystal Grotto",17,61.9
"4","Mystical Teachings",24,61.8
"5","Preordain",51,61.7
"6","Brainstorm",51,61.6
"7","Deep Analysis",43,61.4
"8","Network Terminal",14,61.1
"9","Mulldrifter",29,61
"10","Crop Rotation",19,60.9
"11","Expedition Map",19,60.9
"12","Urza's Mine",19,60.9
"13","Urza's Power Plant",19,60.9
"14","Urza's Tower",19,60.9
"15","Energy Refractor",19,60.9
"16","Ghostly Flicker",26,60.7
"17","Fallaji Archaeologist",30,60.7
"18","Counterspell",75,60.7
"19","Pulse of Murasa",23,60.6
"20","Compulsive Research",11,60.5
"21","Mnemonic Wall",22,60.5
"22","Weather the Storm",23,60.4
"23","Prohibit",27,60.4
"24","Unexpected Fangs",33,60.4
"25","Mental Note",33,60.2
"26","Thought Scour",33,60.2
"27","Ice Tunnel",33,60.2
"28","Tolarian Terror",33,60.2
"29","Spell Pierce",64,60.2
"30","Great Furnace",87,60.2
"31","Impulse",18,60
"32","Remote Isle",18,60
"33","Unwind",18,60
"34","Snuff Out",34,59.9
"35","Contaminated Aquifer",33,59.8
"36","Makeshift Munitions",53,59.8
"37","Gurmag Angler",64,59.6
"38","Moment's Peace",21,59.5
"39","Chromatic Star",57,59.5
"40","Suffocating Fumes",62,59.5
"41","Lightning Bolt",73,59.5
"42","Prismatic Strands",24,59.4
"43","Ephemerate",76,59.4
"44","Ash Barrens",33,59.3
"45","Bojuka Bog",49,59
"46","Vault of Whispers",51,59
"47","Ichor Wellspring",55,59
"48","Swamp",68,59
"49","Deadly Dispute",73,59
"50","Reaping the Graves",11,58.7
