"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"1","Abrade",14,7,38,54,70.4,56.4,82," 7 Moggwart 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_IAB_MaGiC 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_Dr. Jon Osterman 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_Kirblinxy 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_IAB_MaGiC 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Hamuda 
","Jonas De Ro","R",2,"Instant","HOU",0.3,2.6,2
"2","Agony Warp",2,2,9,14,64.3,35.1,87.2," 2 Terror 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_solace 
","Dave Allsop","B,U",2,"Instant","ALA",0,0.7,1
"3","Ancient Grudge",19,18,93,133,69.9,61.4,77.6," 1 Altar Tron 
 17 Flicker Tron 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_A_AdeptoTerra 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_RClint21 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_TopGrinder 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_Videgain 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_RClint21 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_Aardos 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_A_AdeptoTerra 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_kasa 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_RClint21 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_A_AdeptoTerra 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_TheWatchWander 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_roter_Erzengel 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_RClint21 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_A_AdeptoTerra 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_TheWatchWander 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_RClint21 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_roter_Erzengel 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_RClint21 
","Jim Nelson","R",2,"Instant","TSP",0.5,6.6,1.1
"4","Annul",110,37,158,251,62.9,56.6,68.9," 1 Dimir Faeries 
 19 Mono Blue Faeries 
 17 Terror 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_AliEnWaRe_ 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_ezocratto 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck__against_ 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_medvedev 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_Oceansoul92 
 https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_JMM 
 https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_medvedev 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_JMM 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_ezocratto 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_qbturtle15 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_medvedev 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_AliEnWaRe_ 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_ezocratto 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck__TOP_G 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_JMM 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_Lennny 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_420dragon 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_medvedev 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_Oceansoul92 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_ecobaronen 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_pepeteam 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_Oceansoul92 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_Lennny 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_qbturtle15 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_PauloCabral_Br 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Oceansoul92 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Lennny 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_ezocratto 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Foresterf 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_DobleP 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Lennny 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_qbturtle15 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_ezocratto 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Purgatory_01 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Ramelao 
","Greg Simanson","U",1,"Instant","USG",2.7,13.6,3
"5","Anoint with Affliction",2,1,4,7,57.1,18.4,90.1," 1 Orzhov Ephemerate 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Filip75 
","David Astruga","B",2,"Instant","ONE",0,0.4,2
"6","Arashin Cleric",6,2,9,13,69.2,38.6,90.9," 1 Orzhov Ephemerate 
 1 Wildfire 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_toondoslav 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_gartuyzz 
","Chris Rahn","W",2,"Creature","FRF",0.1,0.7,3
"7","Arboreal Grazer",2,1,3,6,50,11.8,88.2," 1 Cascade 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_musasabi 
","Jason Rainville","G",1,"Creature","WAR",0,0.4,2
"8","Armadillo Cloak",5,3,15,22,68.2,45.1,86.1," 3 Gates 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_Alvatar 
","Paolo Parente","G,W",3,"Enchantment","INV",0.1,1.1,1.7
"9","Arms of Hadar",21,17,73,118,61.9,52.5,70.6," 2 Affinity Control 
 6 Gates 
 8 Orzhov Ephemerate 
 1 Unknown 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2812515837#deck_Beicodegeia 
 https://www.mtgo.com/en/mtgo/decklist/pauper-qualifier-2023-01-2812515832#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_McWinSauce 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck___Noob__ 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-01-2912515850#deck_Beicodegeia 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_Videgain 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0412517106#deck_IAB_MaGiC 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_Bullz0Eye 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_Leobertucci 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1112520684#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_Arukasnobnes 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_LordEgg 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1212520696#deck_HermonHero 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Alvatar 
 https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1912523135#deck_Filip75 
","Mirko Failoni","B",4,"Sorcery","CLB",0.5,6.2,1.2
"10","Augur of Bolas",4,1,4,7,57.1,18.4,90.1," 1 Teachings Control 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-0512517120#deck_bombaj 
","Slawomir Maniak","U",2,"Creature","M13",0.1,0.4,4
"11","Azure Fleet Admiral",1,1,4,6,66.7,22.3,95.7," 1 Dimir Faeries 
"," https://www.mtgo.com/en/mtgo/decklist/pauper-challenge-2023-02-1812523121#deck_Brivenix 
","Sidharth Chaturvedi","U",4,"Creature","CMR",0,0.4,1
