"","CardNames","DeckCount","Winrate95Min"
"1","Thoughtseize",168,78.1
"2","Mountain",397,78.1
"3","Korvold, Fae-Cursed King",60,78
"4","Binding the Old Gods",50,77.9
"5","Woe Strider",71,77.9
"6","Blightstep Pathway",131,77.9
"7","Fatal Push",230,77.9
"8","Cragcrown Pathway",108,77.8
"9","Forest",286,77.8
"10","Fabled Passage",358,77.8
"11","Mayhem Devil",74,77.7
"12","Stomping Ground",170,77.7
"13","Overgrown Tomb",172,77.6
"14","Gilded Goose",79,77.5
"15","Elvish Mystic",125,77.5
"16","Swamp",283,77.5
"17","Llanowar Elves",129,77.4
"18","Darkbore Pathway",81,77.3
"19","Prosperous Innkeeper",55,77
"20","Urborg, Tomb of Yawgmoth",95,76.9
"21","Blood Crypt",124,76.9
"22","Island",352,76.9
"23","Castle Locthwain",125,76.8
"24","Blooming Marsh",72,76.7
"25","Sulfur Falls",88,76.7
"26","Trail of Crumbs",31,76.6
"27","Ketria Triome",175,76.5
"28","Plains",262,76.5
"29","Temple Garden",112,76.4
"30","Steam Vents",164,76.4
"31","Breeding Pool",127,76.3
"32","Negate",80,76.2
"33","Sacred Foundry",138,76.1
"34","Anger of the Gods",60,76
"35","Collected Company",85,76
"36","Growth Spiral",92,76
"37","Inspiring Vantage",95,76
"38","Watery Grave",144,75.9
"39","Castle Vantress",91,75.8
"40","Dreadhorde Arcanist",57,75.7
"41","Soul-Scar Mage",100,75.7
"42","Bolas's Citadel",56,75.6
"43","Battlefield Forge",82,75.6
"44","Shark Typhoon",116,75.6
"45","Opt",151,75.6
"46","Wilderness Reclamation",24,75.5
"47","Uro, Titan of Nature's Wrath",49,75.5
"48","Branchloft Pathway",52,75.5
"49","Agadeem's Awakening",15,75.4
"50","Cauldron Familiar",41,75.4
