"","ArtistName","Winrate","Presence"
"1","Raymond Swanland",NA,0
"2","Victor Adame Minguez",NA,0
"3","Cliff Childs",NA,0
"4","Howard Lyon",NA,0
"5","Eric Deschamps",NA,0
"6","Slawomir Maniak",NA,0
"7","James Ryman",NA,0
"8","Cynthia Sheppard",NA,0
"9","Zoltan Boros",NA,0
"10","Dan Scott",NA,0
"11","Aleksi Briclot",NA,0
"12","Steve Argyle",NA,0
"13","Rob Alexander",NA,0
"14","Adam Paquette",NA,0
"15","Mark Poole",NA,0
"16","Douglas Shuler",NA,0
"17","Kieran Yanner",NA,0
"18","John Howe",NA,0
"19","Aaron Miller",NA,0
"20","Alex Konstad",NA,0
"21","Josh Hass",NA,0
"22","Titus Lunter",NA,0
"23","Zhang Jiazhen",NA,0
"24","Svetlin Velinov",NA,0
"25","Tomasz Jedruszek",NA,0
"26","Fred Fields",NA,0
"27","Dmitry Burmak",NA,0
"28","Jason A. Engle",NA,0
"29","Noah Bradley",NA,0
"30","Dan Frazier",NA,0
"31","Richard Wright",NA,0
"32","Daarken",NA,0
"33","Ryan Pancoast",NA,0
"34","Jonas De Ro",NA,0
"35","Jarreau Wimberly",NA,0
"36","Jesper Myrfors",NA,0
"37","Magali Villeneuve",NA,0
"38","Jesper Ejsing",NA,0
"39","Jason Rainville",NA,0
"40","Caio Monteiro",NA,0
"41","Ryan Yee",NA,0
"42","Lius Lasahido",NA,0
"43","Cyril Van Der Haegen",NA,0
"44","John Avon",NA,0
"45","Darrell Riche",NA,0
"46","Wayne Reynolds",NA,0
"47","Grzegorz Rutkowski",NA,0
"48","Chris Ostrowski",NA,0
"49","Christopher Rush",NA,0
"50","Sam Burley",NA,0
"51","Jenn Ravenna Tran",NA,0
"52","G-host Lee",NA,0
"53","Chris Cold",NA,0
"54","John Stanko",NA,0
"55","Franz Vohwinkel",NA,0
"56","Mathias Kollros",NA,0
"57","Randy Gallegos",NA,0
"58","Vincent Proce",NA,0
"59","Chris Seaman",NA,0
"60","Bud Cook",NA,0
"61","Jon Foster",NA,0
"62","Jason Chan",NA,0
"63","Dave Kendall",NA,0
"64","Yeong-Hao Han",NA,0
"65","Filip Burburan",NA,0
"66","Christine Choi",NA,0
"67","Seb McKinnon",NA,0
"68","Igor Kieryluk",NA,0
"69","Cristi Balanescu",NA,0
"70","Robbie Trevino",NA,0
"71","Raoul Vitale",NA,0
"72","Jeremy Jarvis",NA,0
"73","Chris Rahn",NA,0
"74","Yongjae Choi",NA,0
"75","Eytan Zana",NA,0
"76","Chase Stone",NA,0
"77","Piotr Dura",NA,0
"78","Josu Hernaiz",NA,0
"79","Lucas Staniec",NA,0
"80","Izzy",NA,0
"81","Scott M. Fischer",NA,0
"82","Daniel Ljunggren",NA,0
"83","Matt Stewart",NA,0
"84","Dermot Power",NA,0
"85","Anthony S. Waters",NA,0
"86","Johannes Voss",NA,0
"87","Donato Giancola",NA,0
"88","Steve Prescott",NA,0
"89","Mark Winters",NA,0
"90","Karl Kopinski",NA,0
"91","Andreas Rocha",NA,0
"92","Stanton Feng",NA,0
"93","Jim Nelson",NA,0
"94","Jung Park",NA,0
"95","Wesley Burt",NA,0
"96","Volkan Baǵa",NA,0
"97","Liiga Smilshkalne",NA,0
"98","Anson Maddocks",NA,0
"99","Zack Stella",NA,0
"100","Craig J Spearing",NA,0
"101","Tyler Jacobson",NA,0
"102","Lie Setiawan",NA,0
"103","Chris Rallis",NA,0
"104","Clint Cearley",NA,0
"105","Wisnu Tan",NA,0
"106","Iain McCaig",NA,0
"107","Winona Nelson",NA,0
"108","Jakub Kasper",NA,0
"109","Anastasia Ovchinnikova",NA,0
"110","Todd Lockwood",NA,0
"111","Lindsey Look",NA,0
"112","Austin Hsu",NA,0
"113","Dimitar Marinski",NA,0
"114","Anna Steinbauer",NA,0
"115","Sara Winters",NA,0
"116","Randy Vargas",NA,0
"117","Lorenzo Mastroianni",NA,0
"118","Manuel Castañón",NA,0
"119","Heonhwa Choe",NA,0
"120","Pat Morrissey",NA,0
"121","Tom Wänerstrand",NA,0
"122","Mads Ahm",NA,0
"123","Willian Murai",NA,0
"124","Zezhou Chen",NA,0
"125","Jokubas Uogintas",NA,0
"126","Milivoj Ćeran",NA,0
"127","John Thacker",NA,0
"128","Alexander Forssberg",NA,0
"129","Jason Felix",NA,0
"130","Mauricio Calle",NA,0
"131","Steven Belledin",NA,0
"132","Jaime Jones",NA,0
"133","Nicholas Gregory",NA,0
"134","James Zapata",NA,0
