"","SetName","Winrate","Presence"
"1","FRF",NA,0
"2","EMN",NA,0
"3","ISD",NA,0
"4","ELD",NA,0
"5","AER",NA,0
"6","GRN",NA,0
"7","XLN",NA,0
"8","KTK",NA,0
"9","RTR",NA,0
"10","TSP",NA,0
"11","GPT",NA,0
"12","APC",NA,0
"13","KLD",NA,0
"14","LEA",NA,0
"15","ZNR",NA,0
"16","INV",NA,0
"17","M20",NA,0
"18","KHM",NA,0
"19","ICE",NA,0
"20","PTK",NA,0
"21","MOR",NA,0
"22","AKH",NA,0
"23","RNA",NA,0
"24","LRW",NA,0
"25","THS",NA,0
"26","RAV",NA,0
"27","JOU",NA,0
"28","DTK",NA,0
"29","IKO",NA,0
"30","ALA",NA,0
"31","SOI",NA,0
"32","M19",NA,0
"33","M14",NA,0
"34","DIS",NA,0
"35","PLC",NA,0
"36","GTC",NA,0
"37","DOM",NA,0
"38","WAR",NA,0
"39","STX",NA,0
"40","M10",NA,0
"41","STH",NA,0
"42","THB",NA,0
"43","HOU",NA,0
"44","M21",NA,0
"45","BFZ",NA,0
"46","DGM",NA,0
"47","MRD",NA,0
"48","USG",NA,0
"49","OGW",NA,0
"50","ORI",NA,0
"51","M15",NA,0
"52","RIX",NA,0
"53","CMD",NA,0
"54","BNG",NA,0
