"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Baleful Mastery",1,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-19#ekeross_th_place 
","Chris Cold","B",4,"Instant","STX",0.1,1.4,1
"Callous Bloodmage",1,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-19#ekeross_th_place 
","Jokubas Uogintas","B",3,"Creature","STX",0.1,1.4,1
"Culling Ritual",1,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#magic_rainbows_th_place 
","Lorenzo Mastroianni","B,G",4,"Sorcery","STX",0.1,1.4,1
"Decisive Denial",2,1,4,7,57.1,18.4,90.1," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#rastaf_th_place 
","Lorenzo Mastroianni","G,U",2,"Instant","STX",0.2,1.4,2
"Devastating Mastery",1,1,4,7,57.1,18.4,90.1," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#wkmidori_th_place 
","Jake Murray","W",6,"Sorcery","STX",0.1,1.4,1
"Prismari Command",2,1,4,7,57.1,18.4,90.1," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-19#friskifraska_st_place 
","Johannes Voss","R,U",3,"Instant","STX",0.2,1.4,2
"Rip Apart",1,1,4,7,57.1,18.4,90.1," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#knaijin_rd_place 
","Anna Podedworna","R,W",2,"Sorcery","STX",0.1,1.4,1
"Selfless Glyphweaver",2,1,7,9,77.8,40,97.2," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#xfrcbyerly_rd_place 
","Johannes Voss","W",3,"Creature","STX",0.2,1.4,2
"Test of Talents",7,3,11,18,61.1,35.7,82.7," 3 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#_batutinha__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-19#namahs_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-preliminary-2021-04-17#killersuv_- 
","Lie Setiawan","U",2,"Instant","STX",0.7,4.3,2.3
"Vanishing Verse",2,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-19#acg_th_place 
","Chris Seaman","B,W",2,"Instant","STX",0.2,1.4,2
"Venerable Warsinger",2,1,7,9,77.8,40,97.2," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pioneer-challenge-2021-04-18#xfrcbyerly_rd_place 
","Jokubas Uogintas","R,W",3,"Creature","STX",0.2,1.4,2
